"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.399553270E-1,-9.787500381E0,9.787500381E0,-5.490000153E1,5.661802270E1
6.499553270E-1,-9.900000572E0,9.843750000E0,-5.469375229E1,5.644746199E1
6.599553270E-1,-1.003125000E1,9.937500000E0,-5.469375229E1,5.648704650E1
6.699553270E-1,-1.010625076E1,9.825000763E0,-5.482500076E1,5.660784092E1
6.799553270E-1,-1.014375019E1,1.010625076E1,-5.512500381E1,5.695435030E1
6.899553270E-1,-1.006875038E1,9.993750572E0,-5.497500229E1,5.677592502E1
6.999553270E-1,-1.010625076E1,1.001250076E1,-5.490000153E1,5.671328454E1
7.099553270E-1,-1.016250038E1,1.021875000E1,-5.497500229E1,5.683265032E1
7.199553270E-1,-1.044375038E1,1.018125057E1,-5.506875229E1,5.696751060E1
7.299553270E-1,-1.076250076E1,1.006875038E1,-5.499375153E1,5.693438209E1
7.399553270E-1,-1.076250076E1,1.003125000E1,-5.512500381E1,5.705456550E1
7.499553270E-1,-1.078125000E1,1.008750057E1,-5.540625381E1,5.733974173E1
7.599553270E-1,-1.081875038E1,9.862500191E0,-5.550000381E1,5.739829870E1
7.699553270E-1,-1.083750057E1,9.975000381E0,-5.583750153E1,5.774754218E1
7.799553270E-1,-1.076250076E1,1.005000019E1,-5.583750153E1,5.774651940E1
7.899553270E-1,-1.083750057E1,9.975000381E0,-5.581875229E1,5.772941329E1
7.999553270E-1,-1.085625076E1,9.825000763E0,-5.563125229E1,5.752586420E1
8.099553270E-1,-1.083750057E1,9.825000763E0,-5.585625076E1,5.773995850E1
8.199553270E-1,-1.113750076E1,9.787500381E0,-5.591250229E1,5.784502571E1
8.299553270E-1,-1.143750000E1,9.843750000E0,-5.572500229E1,5.773206822E1
8.399553270E-1,-1.136250019E1,9.825000763E0,-5.565000153E1,5.764164918E1
8.499553270E-1,-1.162500000E1,9.900000572E0,-5.561250305E1,5.767062625E1
8.599553270E-1,-1.173750019E1,9.900000572E0,-5.580000305E1,5.787416749E1
8.699553270E-1,-1.190625000E1,9.862500191E0,-5.598750305E1,5.808294239E1
8.799553270E-1,-1.239375019E1,9.731250763E0,-5.610000229E1,5.827102661E1
8.899553270E-1,-1.245000076E1,9.787500381E0,-5.606250381E1,5.825634744E1
8.999553270E-1,-1.246875095E1,9.712500572E0,-5.619375229E1,5.837413994E1
9.099553270E-1,-1.220625019E1,9.637500763E0,-5.628750229E1,5.839654852E1
9.199553270E-1,-1.261875057E1,9.618750572E0,-5.641875076E1,5.860741136E1
9.299553270E-1,-1.246875095E1,9.412500381E0,-5.630625153E1,5.843337124E1
9.399553270E-1,-1.260000038E1,9.468750000E0,-5.619375229E1,5.836227405E1
9.499553270E-1,-1.271250057E1,9.525000572E0,-5.626875305E1,5.846799019E1
9.599553270E-1,-1.233750057E1,9.712500572E0,-5.630625153E1,5.845460246E1
9.699553270E-1,-1.245000076E1,9.581250191E0,-5.653125381E1,5.867355053E1
9.799553270E-1,-1.248750019E1,9.862500191E0,-5.628750229E1,5.849349951E1
9.899553270E-1,-1.284375095E1,9.993750572E0,-5.640000153E1,5.870091278E1
9.999553270E-1,-1.265625095E1,9.843750000E0,-5.628750229E1,5.852660093E1
1.009955327E0,-1.286250019E1,9.731250763E0,-5.649375153E1,5.875104351E1
1.019955327E0,-1.280625057E1,9.675000191E0,-5.670000076E1,5.892788617E1
1.029955327E0,-1.293750095E1,9.562500000E0,-5.666250229E1,5.890211798E1
1.039955327E0,-1.301250076E1,9.675000191E0,-5.711250305E1,5.936976343E1
1.049955327E0,-1.293750095E1,9.843750000E0,-5.705625153E1,5.932701057E1
1.059955327E0,-1.295625019E1,9.600000381E0,-5.743125153E1,5.965210037E1
1.069955327E0,-1.284375095E1,9.450000763E0,-5.737500381E1,5.954960550E1
1.079955327E0,-1.331250095E1,9.637500763E0,-5.760000229E1,5.989878435E1
1.089955327E0,-1.365000057E1,9.862500191E0,-5.748750305E1,5.990329234E1
1.099955327E0,-1.398750019E1,9.825000763E0,-5.730000305E1,5.979524355E1
1.109955327E0,-1.385625076E1,9.956250191E0,-5.750625229E1,5.998409502E1
1.119955327E0,-1.408125019E1,9.881250381E0,-5.722500229E1,5.975467850E1
1.129955327E0,-1.425000095E1,9.825000763E0,-5.741250229E1,5.996489462E1
1.139955327E0,-1.447500038E1,9.918750763E0,-5.718750381E1,5.981904250E1
1.149955327E0,-1.455000019E1,1.008750057E1,-5.730000305E1,5.997291491E1
1.159955327E0,-1.428750038E1,1.018125057E1,-5.737500381E1,5.999734655E1
1.169955327E0,-1.436250019E1,1.006875038E1,-5.758125305E1,6.019353660E1
1.179955327E0,-1.434375095E1,1.008750057E1,-5.763750076E1,6.024601525E1
1.189955327E0,-1.464375019E1,9.787500381E0,-5.737500381E1,6.001771110E1
1.199955327E0,-1.485000038E1,9.862500191E0,-5.720625305E1,5.991950275E1
1.209955327E0,-1.492500019E1,9.843750000E0,-5.701875305E1,5.975611470E1
1.219955327E0,-1.481250095E1,9.712500572E0,-5.696250153E1,5.965290799E1
1.229955327E0,-1.503750038E1,9.637500763E0,-5.681250381E1,5.955391195E1
1.239955327E0,-1.528125095E1,9.562500000E0,-5.662500381E1,5.942515540E1
1.249955327E0,-1.501875019E1,9.525000572E0,-5.673750305E1,5.945950509E1
1.259955327E0,-1.509375095E1,9.393750191E0,-5.686875153E1,5.958287305E1
1.269955327E0,-1.518750095E1,9.450000763E0,-5.696250153E1,5.970501888E1
1.279955327E0,-1.516875076E1,9.393750191E0,-5.724375153E1,5.995982514E1
1.289955327E0,-1.526250076E1,9.300000191E0,-5.746875381E1,6.018381508E1
1.299955327E0,-1.560000038E1,9.262500763E0,-5.743125153E1,6.022875214E1
1.309955327E0,-1.580625057E1,9.150000572E0,-5.739375305E1,6.022958540E1
1.319955327E0,-1.591875076E1,9.056250572E0,-5.750625229E1,6.035222740E1
1.329955327E0,-1.636875153E1,8.850000381E0,-5.718750381E1,6.013874895E1
1.339955327E0,-1.663125038E1,8.925000191E0,-5.711250305E1,6.015057874E1
1.349955327E0,-1.670625114E1,8.981250763E0,-5.692500305E1,6.000181385E1
