"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.389517330E-1,-1.861875153E1,-2.392500114E1,-3.750000000E1,4.822150545E1
6.489517330E-1,-1.910625076E1,-2.392500114E1,-3.705000305E1,4.806409496E1
6.589517330E-1,-1.901250076E1,-2.396250153E1,-3.691875076E1,4.794445560E1
6.689517330E-1,-1.933125114E1,-2.407500076E1,-3.648750305E1,4.779791639E1
6.789517330E-1,-1.940625000E1,-2.411250114E1,-3.628125000E1,4.769008652E1
6.889517330E-1,-1.944375038E1,-2.398125076E1,-3.598125076E1,4.741107701E1
6.989517330E-1,-1.972500038E1,-2.409375191E1,-3.538125229E1,4.713191630E1
7.089517330E-1,-1.980000114E1,-2.420625114E1,-3.498750305E1,4.692662368E1
7.189517330E-1,-2.030625153E1,-2.435625076E1,-3.399375153E1,4.648812693E1
7.289517330E-1,-2.056875038E1,-2.448750114E1,-3.307500076E1,4.600724812E1
7.389517330E-1,-2.137500000E1,-2.482500076E1,-3.153750038E1,4.547290642E1
7.489517330E-1,-2.184375000E1,-2.510625076E1,-2.983125114E1,4.469202151E1
7.589517330E-1,-2.244375038E1,-2.533125114E1,-2.780625153E1,4.380161914E1
7.689517330E-1,-2.289375114E1,-2.568750191E1,-2.559375191E1,4.288370008E1
7.789517330E-1,-2.340000153E1,-2.623125076E1,-2.328750038E1,4.216570007E1
7.889517330E-1,-2.371875000E1,-2.681250191E1,-2.030625153E1,4.115620501E1
7.989517330E-1,-2.349375153E1,-2.745000076E1,-1.726875114E1,4.004583210E1
8.089517330E-1,-2.317500114E1,-2.816250038E1,-1.400625038E1,3.906894106E1
8.189517330E-1,-2.259375000E1,-2.896875191E1,-1.068750000E1,3.826079955E1
8.289517330E-1,-2.139375114E1,-2.951250076E1,-7.106250286E0,3.713730042E1
8.389517330E-1,-1.980000114E1,-3.026250076E1,-3.581250191E0,3.634122109E1
8.489517330E-1,-1.773750114E1,-3.086250114E1,-4.125000238E-1,3.559891965E1
8.589517330E-1,-1.485000038E1,-3.101250076E1,2.175000191E0,3.445327765E1
8.689517330E-1,-1.177500057E1,-3.086250114E1,3.993750095E0,3.327303195E1
8.789517330E-1,-8.456250191E0,-3.041250038E1,4.968750000E0,3.195491861E1
8.889517330E-1,-5.287500381E0,-2.990625191E1,5.531250000E0,3.086966618E1
8.989517330E-1,-1.743750095E0,-2.891250038E1,5.081250191E0,2.940735361E1
9.089517330E-1,1.368750095E0,-2.806875038E1,3.768750191E0,2.835368940E1
9.189517330E-1,4.406250000E0,-2.698125076E1,1.593750119E0,2.738508666E1
9.289517330E-1,6.993750095E0,-2.595000076E1,-8.250000477E-1,2.688857945E1
9.389517330E-1,9.093750000E0,-2.488125038E1,-3.581250191E0,2.673197079E1
9.489517330E-1,1.065000057E1,-2.385000038E1,-6.487500191E0,2.691342953E1
9.589517330E-1,1.158750057E1,-2.315625000E1,-9.543750763E0,2.759647192E1
9.689517330E-1,1.243125057E1,-2.229375076E1,-1.318125057E1,2.872790769E1
9.789517330E-1,1.291875076E1,-2.156250000E1,-1.676250076E1,3.021286083E1
9.889517330E-1,1.320000076E1,-2.088750076E1,-2.043750000E1,3.206585590E1
9.989517330E-1,1.280625057E1,-2.040000153E1,-2.386875153E1,3.390984246E1
1.008951733E0,1.243125057E1,-1.976250076E1,-2.756250191E1,3.612179313E1
1.018951733E0,1.192500019E1,-1.940625000E1,-3.078750038E1,3.829723682E1
1.028951733E0,1.117500019E1,-1.925625038E1,-3.384375000E1,4.051028539E1
1.038951733E0,1.065000057E1,-1.895625114E1,-3.676875305E1,4.271654446E1
1.048951733E0,9.918750763E0,-1.897500038E1,-3.969375229E1,4.510017990E1
1.058951733E0,9.037500381E0,-1.914375114E1,-4.201875305E1,4.705034781E1
1.068951733E0,7.875000477E0,-1.936875153E1,-4.428750229E1,4.897496327E1
1.078951733E0,6.975000381E0,-1.972500038E1,-4.616250229E1,5.068237256E1
1.088951733E0,5.925000191E0,-2.013750076E1,-4.801875305E1,5.240634703E1
1.098951733E0,4.781250000E0,-2.053125000E1,-4.983750153E1,5.411255988E1
1.108951733E0,4.050000191E0,-2.096250153E1,-5.146875381E1,5.572128490E1
1.118951733E0,3.037500143E0,-2.148750114E1,-5.298750305E1,5.725918784E1
1.128951733E0,1.781250119E0,-2.218125153E1,-5.360625076E1,5.804145839E1
1.138951733E0,9.562500119E-1,-2.283750153E1,-5.439375305E1,5.900123949E1
1.148951733E0,5.625000000E-1,-2.328750038E1,-5.497500229E1,5.970657382E1
1.158951733E0,-5.625000224E-2,-2.411250114E1,-5.538750076E1,6.040853513E1
1.168951733E0,-5.062500238E-1,-2.536875153E1,-5.497500229E1,6.054816859E1
1.178951733E0,-6.562500000E-1,-2.623125076E1,-5.510625076E1,6.103448250E1
1.188951733E0,-8.625000119E-1,-2.681250191E1,-5.568750381E1,6.181223379E1
1.198951733E0,-8.812500238E-1,-2.715000153E1,-5.656875229E1,6.275287181E1
1.208951733E0,-7.312500477E-1,-2.718750191E1,-5.761875153E1,6.371511213E1
