"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.146194900E-2,-0.000000000E0,-8.710800171E0,-5.225259781E1
5.146194900E-2,-0.000000000E0,-8.625399590E0,-5.215499878E1
6.146194900E-2,9.759999812E-2,-8.552199364E0,-5.227700043E1
7.146194900E-2,1.951999962E-1,-8.418000221E0,-5.245999908E1
8.146194900E-2,2.439999878E-1,-8.308199883E0,-5.261859894E1
9.146194900E-2,2.561999857E-1,-8.222800255E0,-5.274060059E1
1.013215320E-1,2.561999857E-1,-8.125200272E0,-5.283819962E1
1.114619490E-1,2.439999878E-1,-8.076399803E0,-5.304559708E1
1.214619490E-1,3.294000030E-1,-7.881199837E0,-5.326519775E1
1.314619490E-1,3.537999988E-1,-7.734799862E0,-5.357019806E1
1.414619490E-1,3.659999967E-1,-7.612799644E0,-5.389959717E1
1.514619490E-1,3.416000009E-1,-7.515199661E0,-5.428999710E1
1.614619490E-1,3.659999967E-1,-7.478600025E0,-5.464379883E1
1.714619490E-1,4.269999862E-1,-7.502999783E0,-5.511959839E1
1.814619490E-1,4.635999799E-1,-7.551799774E0,-5.559539795E1
1.914619490E-1,5.001999736E-1,-7.710399628E0,-5.609560013E1
2.014619490E-1,5.367999673E-1,-8.027600288E0,-5.669339752E1
2.114619490E-1,6.222000122E-1,-8.466799736E0,-5.734000015E1
2.214619490E-1,6.710000038E-1,-8.918199539E0,-5.793779755E1
2.314619490E-1,7.685999870E-1,-9.637999535E0,-5.848679733E1
2.414619490E-1,8.661999702E-1,-1.044320011E1,-5.903579712E1
2.514619490E-1,9.149999619E-1,-1.140699959E1,-5.943840027E1
2.614619490E-1,9.637999535E-1,-1.245619965E1,-5.985319901E1
2.714619490E-1,1.049199939E0,-1.371280003E1,-5.992639923E1
2.814619490E-1,1.097999930E0,-1.498159981E1,-5.987759781E1
2.914619490E-1,1.134599924E0,-1.625040054E1,-5.963359833E1
3.014619490E-1,1.134599924E0,-1.766559982E1,-5.921879959E1
3.114619490E-1,1.122399926E0,-1.898320007E1,-5.849900055E1
3.214619490E-1,9.882000089E-1,-2.022760010E1,-5.764500046E1
3.314619490E-1,9.027999640E-1,-2.121579933E1,-5.672999954E1
3.414619490E-1,8.417999744E-1,-2.216740036E1,-5.560759735E1
3.514619490E-1,7.075999975E-1,-2.283839989E1,-5.463159943E1
3.614619490E-1,5.367999673E-1,-2.322879982E1,-5.355799866E1
3.714619490E-1,3.659999967E-1,-2.347279930E1,-5.249659729E1
3.814607300E-1,1.951999962E-1,-2.357040024E1,-5.150839996E1
3.914607300E-1,-3.660000116E-2,-2.344840050E1,-5.072760010E1
4.014607300E-1,-1.586000025E-1,-2.320439911E1,-4.995899963E1
4.114607300E-1,-3.537999988E-1,-2.294820023E1,-4.922699738E1
4.214607300E-1,-5.856000185E-1,-2.261879921E1,-4.871459961E1
4.314607300E-1,-7.563999891E-1,-2.230159950E1,-4.821439743E1
4.414607300E-1,-9.637999535E-1,-2.203319931E1,-4.777519989E1
4.514607300E-1,-1.195600033E0,-2.169159889E1,-4.740919876E1
4.614607300E-1,-1.317600012E0,-2.131340027E1,-4.716519928E1
4.714607300E-1,-1.463999987E0,-2.098399925E1,-4.687239838E1
4.814607300E-1,-1.781199932E0,-2.067899895E1,-4.661619949E1
4.914607300E-1,-2.000799894E0,-2.038619995E1,-4.643320084E1
5.014607300E-1,-2.244799852E0,-2.015439987E1,-4.627460098E1
5.114607300E-1,-2.537600040E0,-1.987380028E1,-4.611599731E1
5.214607300E-1,-2.830399990E0,-1.961759949E1,-4.601839828E1
5.314607300E-1,-3.110999823E0,-1.944680023E1,-4.589640045E1
5.414607300E-1,-3.391599894E0,-1.928820038E1,-4.579879761E1
5.514607300E-1,-3.659999847E0,-1.914179993E1,-4.572559738E1
5.614607300E-1,-3.806399822E0,-1.905640030E1,-4.567679977E1
5.714607300E-1,-4.013800144E0,-1.904419899E1,-4.556699753E1
5.814607300E-1,-4.099199772E0,-1.903199959E1,-4.542060089E1
5.914607300E-1,-4.135799885E0,-1.899539948E1,-4.535960007E1
6.014607300E-1,-4.123600006E0,-1.905640030E1,-4.522539902E1
6.114607300E-1,-4.135799885E0,-1.915399933E1,-4.515219879E1
6.214607300E-1,-4.123600006E0,-1.920279884E1,-4.501799774E1
6.314607300E-1,-4.099199772E0,-1.925160027E1,-4.495700073E1
6.414607300E-1,-4.038199902E0,-1.927599907E1,-4.481060028E1
6.514607300E-1,-3.952800035E0,-1.923939896E1,-4.473740005E1
6.614607300E-1,-3.867399931E0,-1.912960052E1,-4.461539841E1
6.714607300E-1,-3.818599939E0,-1.915399933E1,-4.443239975E1
6.814607300E-1,-3.769799948E0,-1.912960052E1,-4.433480072E1
6.914607300E-1,-3.684399843E0,-1.903199959E1,-4.416399765E1
7.014607300E-1,-3.611199856E0,-1.897099876E1,-4.402980042E1
7.114607300E-1,-3.525799990E0,-1.890999985E1,-4.389559937E1
7.214607300E-1,-3.464799881E0,-1.886120033E1,-4.382239914E1
7.314607300E-1,-3.428200006E0,-1.880019951E1,-4.372480011E1
7.414607300E-1,-3.415999889E0,-1.878800011E1,-4.360279846E1
7.514607300E-1,-3.355000019E0,-1.866600037E1,-4.355400085E1
7.614607300E-1,-3.281800032E0,-1.849519920E1,-4.350519943E1
7.714607300E-1,-3.257400036E0,-1.834879875E1,-4.349300003E1
7.814607300E-1,-3.257400036E0,-1.820240021E1,-4.340760040E1
7.914607300E-1,-3.233000040E0,-1.800720024E1,-4.334659958E1
8.014607300E-1,-3.184200048E0,-1.778759956E1,-4.334659958E1
8.114607300E-1,-3.135400057E0,-1.759239960E1,-4.334659958E1
8.214607300E-1,-3.123199940E0,-1.740939903E1,-4.334659958E1
8.314607300E-1,-3.098799944E0,-1.717759895E1,-4.330999756E1
8.414607300E-1,-3.123199940E0,-1.697019958E1,-4.326119995E1
8.514607300E-1,-3.110999823E0,-1.681159973E1,-4.320019913E1
8.614607300E-1,-3.098799944E0,-1.665299988E1,-4.318799973E1
8.714607300E-1,-3.110999823E0,-1.651879883E1,-4.315139771E1
8.814607300E-1,-3.098799944E0,-1.639679909E1,-4.312699890E1
8.914607300E-1,-3.135400057E0,-1.625040054E1,-4.309040070E1
9.014607300E-1,-3.110999823E0,-1.604299927E1,-4.310260010E1
9.114607300E-1,-3.147599936E0,-1.592099953E1,-4.307819748E1
9.214607300E-1,-3.171999931E0,-1.573799992E1,-4.315139771E1
9.314607300E-1,-3.233000040E0,-1.559159946E1,-4.320019913E1
9.414607300E-1,-3.208600044E0,-1.538420010E1,-4.324900055E1
9.514607300E-1,-3.257400036E0,-1.522559929E1,-4.323679733E1
9.614607300E-1,-3.269599915E0,-1.510359955E1,-4.323679733E1
9.714607300E-1,-3.330600023E0,-1.495720005E1,-4.328559875E1
9.814607300E-1,-3.379400015E0,-1.478639984E1,-4.334659958E1
9.914607300E-1,-3.464799881E0,-1.451799965E1,-4.339540100E1
1.001460730E0,-3.452600002E0,-1.435939980E1,-4.335879898E1
1.011460730E0,-3.428200006E0,-1.411539936E1,-4.340760040E1
1.021460730E0,-3.574599981E0,-1.390799999E1,-4.340760040E1
1.031460730E0,-3.623399973E0,-1.356639957E1,-4.348080063E1
1.041460730E0,-3.745399952E0,-1.331019974E1,-4.350519943E1
1.051460730E0,-3.806399822E0,-1.301739979E1,-4.359059906E1
