"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.542381600E-2,-3.292027488E-2,7.242459804E-2,9.544485092E0
1.742183700E-2,-4.249707982E-2,9.636662155E-2,9.544485092E0
1.941985800E-2,-5.207388848E-2,9.157821536E-2,9.587580681E0
2.141787800E-2,-5.686229095E-2,7.721300423E-2,9.673771858E0
2.341589900E-2,-6.643909961E-2,1.011550203E-1,9.740809441E0
2.541392000E-2,-7.122749835E-2,1.107318252E-1,9.817423820E0
2.741194100E-2,-1.717839688E-1,4.848258570E-2,9.769539833E0
2.941001400E-2,-1.717839688E-1,1.155202314E-1,1.002811337E1
3.140813900E-2,5.386953708E-3,2.112883031E-1,1.033457184E1
3.340631600E-2,-4.249707982E-2,1.777694821E-1,9.917980194E0
3.540454500E-2,-7.122749835E-2,2.064998895E-1,9.831789017E0
3.740282600E-2,-1.376665942E-2,2.543839216E-1,1.008557510E1
3.940116000E-2,1.496376097E-2,2.831143439E-1,1.022443867E1
4.139954500E-2,2.454056777E-2,2.926911712E-1,1.028668785E1
4.339798300E-2,2.932897024E-2,3.118447661E-1,1.037766743E1
4.539647200E-2,3.890577704E-2,3.070563674E-1,1.041118622E1
4.739496200E-2,4.369417951E-2,2.974795699E-1,1.049258900E1
4.939345100E-2,2.454056777E-2,3.166331649E-1,1.055483818E1
5.139194100E-2,1.496376097E-2,3.501519859E-1,1.057399178E1
5.339043100E-2,-2.334346622E-2,3.836708367E-1,1.053568459E1
5.538876400E-2,-8.559270948E-2,4.411316514E-1,1.053089619E1
5.738688900E-2,-9.516951442E-2,4.842272997E-1,1.057399178E1
5.938501400E-2,-1.143231317E-1,5.368997455E-1,1.055962658E1
6.138313900E-2,-1.574187577E-1,5.799953341E-1,1.056441498E1
6.338126400E-2,-2.292448133E-1,6.278793812E-1,1.055004978E1
6.537938900E-2,-2.579752207E-1,6.230909824E-1,1.057878017E1
6.737756600E-2,-2.675520480E-1,5.799953341E-1,1.056441498E1
6.937579500E-2,-2.531868219E-1,6.135141850E-1,1.058356857E1
7.137407600E-2,-2.579752207E-1,6.230909824E-1,1.056441498E1
7.337241000E-2,-2.148796022E-1,6.661866307E-1,1.058356857E1
7.537079500E-2,-1.813607812E-1,6.374561787E-1,1.061229897E1
7.736923300E-2,-1.909375787E-1,6.470330358E-1,1.060751057E1
7.936772200E-2,-1.861491799E-1,6.326677799E-1,1.059793377E1
8.136626400E-2,-2.005143911E-1,6.613982320E-1,1.058835697E1
8.336485800E-2,-2.053027898E-1,6.997054219E-1,1.058356857E1
8.536350300E-2,-2.100912035E-1,7.140706778E-1,1.058835697E1
8.736214900E-2,-2.292448133E-1,7.667431235E-1,1.053568459E1
8.936079500E-2,-2.196680009E-1,8.050503135E-1,1.045428181E1
9.135944100E-2,-2.531868219E-1,8.672995567E-1,1.042555141E1
9.335798300E-2,-2.675520480E-1,9.008184075E-1,1.037766743E1
9.535610800E-2,-2.867056429E-1,8.864531517E-1,1.032978344E1
