"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.480881600E-2,5.855999947E0,-1.229759979E1,-4.688459778E1
4.480881600E-2,6.148799896E0,-1.216339970E1,-4.690900040E1
5.480881600E-2,6.246399879E0,-1.228539944E1,-4.668939972E1
6.480881600E-2,6.234200001E0,-1.229759979E1,-4.661619949E1
7.480881600E-2,6.282999992E0,-1.224879932E1,-4.656739807E1
8.480881600E-2,6.343999863E0,-1.215119934E1,-4.660400009E1
9.154324300E-2,6.380599976E0,-1.213899994E1,-4.668939972E1
9.480881600E-2,6.417200089E0,-1.213899994E1,-4.676259995E1
1.048088160E-1,6.453799725E0,-1.210239983E1,-4.670159912E1
1.148088160E-1,6.453799725E0,-1.207800007E1,-4.666500092E1
1.248088160E-1,6.429399967E0,-1.194379997E1,-4.670159912E1
1.348088160E-1,6.466000080E0,-1.178520012E1,-4.673819733E1
1.448088160E-1,6.417200089E0,-1.165100002E1,-4.675040054E1
1.548088160E-1,6.356199741E0,-1.152899933E1,-4.683580017E1
1.648088160E-1,6.307399750E0,-1.129720020E1,-4.686019897E1
1.748088160E-1,6.295199871E0,-1.096780014E1,-4.698220062E1
1.848088160E-1,6.392799854E0,-1.062619972E1,-4.733599854E1
1.948088160E-1,6.514800072E0,-1.029679966E1,-4.775079727E1
2.048088160E-1,6.648999691E0,-1.001620007E1,-4.823880005E1
2.148088160E-1,6.734399796E0,-9.906399727E0,-4.876339722E1
2.248088160E-1,6.953999996E0,-9.808799744E0,-4.936119843E1
2.348088160E-1,7.100399971E0,-9.808799744E0,-4.997119904E1
2.448088160E-1,7.234600067E0,-9.918600082E0,-5.054459763E1
2.548088160E-1,7.283400059E0,-1.039439964E1,-5.108139801E1
2.648088160E-1,7.283400059E0,-1.090679932E1,-5.142300034E1
2.748088160E-1,7.185800076E0,-1.149240017E1,-5.163039780E1
2.848088160E-1,7.075999737E0,-1.212679958E1,-5.170359802E1
2.948088160E-1,6.844199657E0,-1.271239948E1,-5.158160019E1
3.048088160E-1,6.587999821E0,-1.337119961E1,-5.141079712E1
3.148088160E-1,6.368400097E0,-1.396899986E1,-5.110580063E1
3.248088160E-1,6.112199783E0,-1.451799965E1,-5.076419830E1
3.348088160E-1,5.819399834E0,-1.477419949E1,-5.025180054E1
3.448088160E-1,5.465600014E0,-1.510359955E1,-4.975159836E1
3.548088160E-1,5.075200081E0,-1.532319927E1,-4.931240082E1
3.648088160E-1,4.757999897E0,-1.549399948E1,-4.892200089E1
3.748088160E-1,4.477399826E0,-1.562819958E1,-4.858039856E1
3.848088160E-1,4.196799755E0,-1.570139980E1,-4.820219803E1
3.948088160E-1,3.928400040E0,-1.577460003E1,-4.779959869E1
4.048088160E-1,3.696599960E0,-1.577460003E1,-4.753120041E1
4.148088160E-1,3.501399994E0,-1.579899979E1,-4.736039734E1
4.248088160E-1,3.403800011E0,-1.568919945E1,-4.718959808E1
4.348088160E-1,3.306200027E0,-1.559159946E1,-4.699440002E1
4.448088160E-1,3.171999931E0,-1.546959972E1,-4.690900040E1
4.548088160E-1,3.123199940E0,-1.528660011E1,-4.694559860E1
4.648088160E-1,2.940199852E0,-1.499380016E1,-4.709199905E1
4.748088160E-1,2.744999886E0,-1.470099926E1,-4.734819794E1
4.848088160E-1,2.464400053E0,-1.446920013E1,-4.755559921E1
4.948088160E-1,2.269199848E0,-1.413980007E1,-4.787279892E1
5.048088160E-1,2.025199890E0,-1.387139988E1,-4.845840073E1
5.148088160E-1,1.866599917E0,-1.368839931E1,-4.915379715E1
5.248088160E-1,1.695799947E0,-1.359079933E1,-4.975159836E1
5.348088160E-1,1.622599959E0,-1.363959980E1,-5.038599777E1
5.448088160E-1,1.768999934E0,-1.381040001E1,-5.083739853E1
5.548088160E-1,1.915399909E0,-1.412759972E1,-5.148399734E1
5.648088160E-1,2.122799873E0,-1.479859924E1,-5.195980072E1
5.748088160E-1,2.354599953E0,-1.578679943E1,-5.206959915E1
5.848088160E-1,2.391200066E0,-1.671399879E1,-5.181340027E1
5.948088160E-1,2.269199848E0,-1.765340042E1,-5.137419891E1
6.048088160E-1,2.073999882E0,-1.853179932E1,-5.077639771E1
6.148088160E-1,1.707999945E0,-1.930039978E1,-4.998339844E1
6.248088160E-1,1.220000029E0,-1.984939957E1,-4.920259857E1
6.348088160E-1,7.197999954E-1,-2.021539879E1,-4.811679840E1
6.448088160E-1,1.951999962E-1,-2.020319939E1,-4.716519928E1
6.548088160E-1,-4.269999862E-1,-1.991040039E1,-4.654299927E1
6.648088160E-1,-8.417999744E-1,-1.971520042E1,-4.596960068E1
6.748088160E-1,-1.122399926E0,-1.937360001E1,-4.549379730E1
6.848088160E-1,-1.293200016E0,-1.901980019E1,-4.516439819E1
6.948088160E-1,-1.415199995E0,-1.869039917E1,-4.492039871E1
7.048088160E-1,-1.451799989E0,-1.848299980E1,-4.470079803E1
7.148088160E-1,-1.463999987E0,-1.821459961E1,-4.451779938E1
7.248088160E-1,-1.524999976E0,-1.789739990E1,-4.443239975E1
7.348088160E-1,-1.585999966E0,-1.761680031E1,-4.444459915E1
7.448088160E-1,-1.671399951E0,-1.753139877E1,-4.437139893E1
7.548088160E-1,-1.720199943E0,-1.733619881E1,-4.422499847E1
7.648088160E-1,-1.756799936E0,-1.709219933E1,-4.406639862E1
7.748088160E-1,-1.817799926E0,-1.681159973E1,-4.395660019E1
7.848088160E-1,-1.927599907E0,-1.659199905E1,-4.388339996E1
7.948088160E-1,-2.025199890E0,-1.646999931E1,-4.389559937E1
8.048088160E-1,-2.049599886E0,-1.634799957E1,-4.377359772E1
8.148088160E-1,-2.013000011E0,-1.623819923E1,-4.351739883E1
8.248088160E-1,-1.988600016E0,-1.588439941E1,-4.344419861E1
8.348088160E-1,-1.976400018E0,-1.566479969E1,-4.339540100E1
