"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.078916800E-2,-1.047463268E-1,7.044938207E-1,1.001374817E1
2.208703300E-2,-9.995792061E-2,7.571662664E-1,1.004726696E1
2.405224100E-2,-1.191115379E-1,7.140706778E-1,1.008557510E1
2.601745000E-2,-9.995792061E-2,6.805518270E-1,1.012388229E1
2.798265800E-2,-9.516951442E-2,6.853402257E-1,1.011430550E1
2.988213700E-2,-9.038111567E-2,6.039373875E-1,1.015261269E1
3.170932500E-2,-4.249707982E-2,5.799953341E-1,1.014303589E1
3.367453300E-2,-1.855506375E-2,5.656301379E-1,1.014782429E1
3.563974100E-2,1.496376097E-2,5.416881442E-1,1.009036350E1
3.760495000E-2,1.155202314E-1,5.129576921E-1,1.006163311E1
3.957015800E-2,1.155202314E-1,5.129576921E-1,9.994594574E0
4.153536600E-2,8.200141042E-2,4.602852762E-1,9.937133789E0
4.350057500E-2,3.890577704E-2,4.315548539E-1,9.927556992E0
4.546578300E-2,3.890577704E-2,4.363432527E-1,9.898826599E0
4.743099100E-2,1.017535757E-2,4.315548539E-1,9.870096207E0
4.939620000E-2,1.496376097E-2,4.411316514E-1,9.874884605E0
5.136140800E-2,-4.189853091E-3,4.938040972E-1,9.870096207E0
5.332661600E-2,5.386953708E-3,5.033808947E-1,9.850942612E0
5.529182500E-2,-8.978256024E-3,5.273229480E-1,9.870096207E0
5.725703300E-2,-2.334346622E-2,6.230909824E-1,9.841365814E0
5.922224100E-2,-2.813187055E-2,7.092822790E-1,9.812635422E0
6.118745000E-2,-4.189853091E-3,7.428010702E-1,9.841365814E0
6.315265800E-2,5.386953708E-3,7.571662664E-1,9.865307808E0
6.511786600E-2,5.386953708E-3,8.194155097E-1,9.841365814E0
6.708307500E-2,5.985504249E-4,7.858967185E-1,9.874884605E0
6.904828300E-2,-1.855506375E-2,7.571662664E-1,9.855731010E0
7.101349100E-2,-1.376665942E-2,7.715315223E-1,9.812635422E0
7.297870000E-2,1.975216344E-2,7.858967185E-1,9.769539833E0
7.494390800E-2,1.975216344E-2,8.002619147E-1,9.759963036E0
7.690911600E-2,3.890577704E-2,8.289923668E-1,9.745597839E0
7.887432500E-2,-5.596446395E-1,2.030881643E0,9.855731010E0
8.083953300E-2,-5.835866928E-1,2.744353771E0,9.515754700E0
8.280474100E-2,-4.447229803E-1,2.768295765E0,9.597157478E0
8.476995000E-2,-3.872621357E-1,2.653373957E0,9.793481827E0
8.673599100E-2,-2.819172442E-1,2.533663988E0,9.764751434E0
8.870411600E-2,-2.053027898E-1,2.308609009E0,9.510966301E0
9.067552300E-2,-1.957259923E-1,2.050035238E0,9.788693428E0
9.265114800E-2,-1.957259923E-1,2.150591612E0,9.946710587E0
9.463177300E-2,-8.978256024E-3,2.102707624E0,9.424775124E0
9.661797100E-2,-1.191115379E-1,2.093130827E0,9.185355186E0
9.861000200E-2,-2.579752207E-1,2.050035238E0,8.854954720E0
1.006079180E-1,-4.542997777E-1,1.978209138E0,9.716867447E0
1.026115120E-1,-5.069721937E-1,1.858499050E0,9.568427086E0
1.046203660E-1,-4.878185987E-1,1.719635367E0,9.482235909E0
1.066339080E-1,-4.973953962E-1,1.686116576E0,9.568427086E0
1.086513560E-1,-5.261258483E-1,1.614290476E0,9.458293915E0
1.106718250E-1,-4.303577542E-1,1.475426793E0,9.482235909E0
1.126943250E-1,-3.537433147E-1,1.604713678E0,9.242815971E0
1.147178660E-1,-2.579752207E-1,1.662174582E0,9.448717117E0
1.167414080E-1,-2.340332121E-1,1.700481772E0,9.558850288E0
1.187406270E-1,-2.053027898E-1,1.748365760E0,9.640253067E0
1.207395330E-1,-1.143231317E-1,1.968632340E0,9.491812706E0
1.227384390E-1,-9.038111567E-2,2.064400434E0,9.443928719E0
1.247373460E-1,-1.430535465E-1,2.150591612E0,9.405621529E0
1.267362520E-1,-2.196680009E-1,2.236783028E0,9.343372345E0
1.287351580E-1,-2.005143911E-1,2.332551003E0,9.338583946E0
1.307340640E-1,-1.861491799E-1,2.423530579E0,9.305065155E0
1.327329710E-1,-2.005143911E-1,2.480991602E0,9.319430351E0
1.347318770E-1,-1.622071713E-1,2.514510393E0,9.592369080E0
1.367307830E-1,-1.909375787E-1,2.514510393E0,9.664195061E0
1.387296890E-1,-2.388216257E-1,2.571971178E0,9.678560257E0
1.407285960E-1,-1.430535465E-1,2.624643564E0,9.688137054E0
1.427275020E-1,-8.080431074E-2,2.634220362E0,9.922768593E0
1.447264080E-1,-8.559270948E-2,2.739565372E0,9.721655846E0
1.467253140E-1,-7.122749835E-2,2.758718967E0,9.702502251E0
1.487242210E-1,-4.189853091E-3,2.706046581E0,9.807847023E0
1.507231790E-1,1.155202314E-1,2.682104349E0,9.908403397E0
1.527221890E-1,2.017114908E-1,2.825756550E0,9.487024307E0
1.547212520E-1,2.735375464E-1,2.864063740E0,9.539696693E0
1.567203660E-1,3.932476342E-1,2.696469545E0,9.999382973E0
1.587194810E-1,4.171896577E-1,2.710834980E0,9.558850288E0
1.607185960E-1,3.549404144E-1,2.662950754E0,9.645041466E0
1.627177100E-1,3.932476342E-1,2.447472572E0,9.601945877E0
1.647168250E-1,4.554968774E-1,2.318185806E0,9.419986725E0
1.667159390E-1,4.363432527E-1,2.236783028E0,9.300276756E0
1.687150540E-1,5.081692934E-1,2.155380011E0,9.419986725E0
1.707141680E-1,5.177460909E-1,2.112284422E0,9.348160744E0
1.727130230E-1,5.225345492E-1,2.030881643E0,9.501389503E0
1.747118770E-1,4.842272997E-1,1.973420739E0,9.261969566E0
1.767107310E-1,3.980360329E-1,2.011728048E0,9.247604370E0
1.787095850E-1,3.597288132E-1,2.030881643E0,9.118317604E0
1.807084390E-1,3.166331649E-1,1.892017841E0,9.611522675E0
1.827072930E-1,1.825578809E-1,1.901594758E0,9.812635422E0
1.847061480E-1,1.586158574E-1,2.050035238E0,9.487024307E0
1.867050020E-1,1.011550203E-1,2.169745207E0,9.467870712E0
1.887039080E-1,2.932897024E-2,2.418742180E0,9.463082314E0
1.907028660E-1,2.932897024E-2,2.696469545E0,9.233239174E0
1.927018770E-1,5.327098817E-2,2.797026157E0,8.907627106E0
1.947009390E-1,2.448071241E-1,2.595913172E0,9.520543098E0
1.967000540E-1,3.453635871E-1,2.519298792E0,9.664195061E0
1.986992210E-1,3.788824081E-1,2.653373957E0,9.161413193E0
2.006984390E-1,4.698620737E-1,2.993350744E0,8.084021568E0
2.026977100E-1,5.656301379E-1,2.935889721E0,8.692149162E0
2.046969810E-1,6.518214345E-1,2.734776974E0,9.051279068E0
2.066962520E-1,6.135141850E-1,2.753930569E0,8.601169586E0
2.086955230E-1,4.890156984E-1,2.495356798E0,9.113529205E0
2.106947930E-1,4.219780564E-1,2.447472572E0,8.677783966E0
2.126938560E-1,5.321113467E-1,2.610278368E0,7.662642479E0
2.146927620E-1,5.560533404E-1,1.987785935E0,8.438364029E0
2.166916680E-1,4.124012291E-1,2.021304846E0,7.542932510E0
2.186905750E-1,3.501519859E-1,2.045246840E0,6.939593792E0
2.206894810E-1,4.124012291E-1,1.872864246E0,7.562086105E0
2.226883870E-1,6.087257862E-1,4.267664552E-1,1.747887039E1
2.246871890E-1,8.912416101E-1,-1.526303589E-1,2.724242401E1
