"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.674835300E-2,1.425081940E2,-1.872455902E2,-1.087141953E2
4.674835300E-2,1.425081940E2,-1.872455902E2,-1.087141953E2
5.674835300E-2,1.426790009E2,-1.870137939E2,-1.089337997E2
6.674835300E-2,1.428376007E2,-1.869161987E2,-1.090802002E2
7.674835300E-2,1.430083923E2,-1.868430023E2,-1.091167984E2
8.674835300E-2,1.431913910E2,-1.867575989E2,-1.092388000E2
9.516335300E-2,1.433621979E2,-1.867332001E2,-1.093363953E2
1.067483530E-1,1.435574036E2,-1.867088013E2,-1.095438004E2
1.167483530E-1,1.439477997E2,-1.866600037E2,-1.098488007E2
1.267483530E-1,1.444235992E2,-1.866477966E2,-1.102025986E2
1.367483530E-1,1.449725952E2,-1.867941895E2,-1.106417999E2
1.467483530E-1,1.455948029E2,-1.869527893E2,-1.110810013E2
1.567483530E-1,1.462413940E2,-1.872211914E2,-1.116177979E2
1.667483530E-1,1.469367981E2,-1.875261993E2,-1.121912003E2
1.767483530E-1,1.477297974E2,-1.880019989E2,-1.128743973E2
1.867483530E-1,1.485350037E2,-1.887339935E2,-1.134599991E2
1.967483530E-1,1.493280029E2,-1.895635986E2,-1.140699997E2
2.067483530E-1,1.500233917E2,-1.905395966E2,-1.147043991E2
2.167483530E-1,1.505845947E2,-1.918571930E2,-1.150703964E2
2.267483530E-1,1.510115967E2,-1.933455963E2,-1.154486008E2
2.367483530E-1,1.512921906E2,-1.949315948E2,-1.156681976E2
2.467483530E-1,1.513654022E2,-1.968103943E2,-1.156681976E2
2.567483530E-1,1.511701965E2,-1.986403961E2,-1.155095978E2
2.667483530E-1,1.506089935E2,-2.007021942E2,-1.150337982E2
2.767483530E-1,1.498038025E2,-2.027639923E2,-1.142895966E2
2.867483530E-1,1.488033905E2,-2.047769928E2,-1.132526016E2
2.967483530E-1,1.476199951E2,-2.064971924E2,-1.121179962E2
3.067483530E-1,1.459608002E2,-2.080953979E2,-1.106051941E2
3.167483530E-1,1.441185913E2,-2.095594025E2,-1.090680008E2
3.267483530E-1,1.421909943E2,-2.106817932E2,-1.075064011E2
3.367483530E-1,1.402145996E2,-2.116455994E2,-1.058227997E2
3.467483530E-1,1.382382050E2,-2.119384003E2,-1.042123947E2
3.567483530E-1,1.362373962E2,-2.119749908E2,-1.027483978E2
3.667483530E-1,1.343097992E2,-2.118529968E2,-1.014185944E2
3.767483530E-1,1.325773926E2,-2.114747925E2,-1.001864014E2
3.867483530E-1,1.311499939E2,-2.109135895E2,-9.921039581E1
3.967483530E-1,1.298811951E2,-2.101694031E2,-9.834420013E1
