"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.433610800E-2,6.284779310E-2,4.028244317E-1,9.879673004E0
1.633454600E-2,3.411737457E-2,3.836708367E-1,9.860519409E0
1.833298300E-2,2.454056777E-2,3.597288132E-1,9.860519409E0
2.033142100E-2,-8.978256024E-3,3.693056107E-1,9.850942612E0
2.232985800E-2,-5.686229095E-2,3.740940094E-1,9.855731010E0
2.432829600E-2,-6.643909961E-2,3.932476342E-1,9.831789017E0
2.632673300E-2,-8.559270948E-2,3.884592354E-1,9.841365814E0
2.832517100E-2,-7.122749835E-2,3.788824081E-1,9.836577415E0
3.032360800E-2,-5.686229095E-2,3.405751884E-1,9.836577415E0
3.232204600E-2,-4.728548229E-2,3.309983909E-1,9.817423820E0
3.432048300E-2,-4.189853091E-3,3.405751884E-1,9.803058624E0
3.631892100E-2,-4.189853091E-3,3.309983909E-1,9.822212219E0
3.831735800E-2,-1.376665942E-2,3.453635871E-1,9.841365814E0
4.031579600E-2,-5.207388848E-2,3.453635871E-1,9.812635422E0
4.231423300E-2,-3.292027488E-2,3.357867897E-1,9.774328232E0
4.431267100E-2,-3.292027488E-2,3.118447661E-1,9.716867447E0
4.631110800E-2,-4.189853091E-3,3.070563674E-1,9.678560257E0
4.830954600E-2,-1.376665942E-2,3.022679687E-1,9.678560257E0
5.030798300E-2,-4.189853091E-3,2.926911712E-1,9.673771858E0
5.230642100E-2,-1.376665942E-2,2.879027426E-1,9.678560257E0
5.430485800E-2,-1.376665942E-2,2.926911712E-1,9.678560257E0
5.630329600E-2,-4.189853091E-3,2.879027426E-1,9.649829865E0
5.830173300E-2,-1.376665942E-2,2.926911712E-1,9.630676270E0
6.030017100E-2,5.386953708E-3,2.783259451E-1,9.616311073E0
6.229860800E-2,5.386953708E-3,2.879027426E-1,9.649829865E0
6.429704600E-2,2.454056777E-2,2.974795699E-1,9.649829865E0
6.629548300E-2,2.454056777E-2,2.687491477E-1,9.625887871E0
6.829392100E-2,2.932897024E-2,2.735375464E-1,9.630676270E0
7.029235800E-2,4.848258570E-2,2.735375464E-1,9.645041466E0
7.229079600E-2,5.327098817E-2,2.687491477E-1,9.635464668E0
7.428918100E-2,6.284779310E-2,2.639607489E-1,9.654618263E0
7.628756600E-2,7.242459804E-2,2.591723204E-1,9.654618263E0
7.828595200E-2,7.242459804E-2,2.543839216E-1,9.664195061E0
8.028433700E-2,4.848258570E-2,2.687491477E-1,9.683348656E0
8.228272300E-2,6.284779310E-2,2.831143439E-1,9.673771858E0
8.428110800E-2,4.369417951E-2,2.831143439E-1,9.673771858E0
8.627949300E-2,1.496376097E-2,2.974795699E-1,9.697713852E0
8.827793100E-2,5.985504249E-4,2.974795699E-1,9.697713852E0
9.027642100E-2,-1.855506375E-2,3.022679687E-1,9.673771858E0
9.227496200E-2,-4.728548229E-2,3.070563674E-1,9.673771858E0
9.427355600E-2,-5.686229095E-2,3.501519859E-1,9.673771858E0
9.627220200E-2,-8.559270948E-2,3.453635871E-1,9.697713852E0
9.827090000E-2,-1.143231317E-1,3.740940094E-1,9.716867447E0
1.002696500E-1,-1.286883354E-1,4.076128304E-1,9.745597839E0
1.022684520E-1,-1.574187577E-1,4.124012291E-1,9.755174637E0
1.042672540E-1,-1.765723825E-1,4.124012291E-1,9.745597839E0
1.062660560E-1,-1.861491799E-1,3.980360329E-1,9.736021042E0
1.082648580E-1,-1.861491799E-1,4.171896577E-1,9.736021042E0
1.102636600E-1,-1.574187577E-1,4.076128304E-1,9.745597839E0
1.122622540E-1,-1.622071713E-1,4.028244317E-1,9.712079048E0
1.142607430E-1,-1.191115379E-1,4.411316514E-1,9.692925453E0
1.162591810E-1,-8.559270948E-2,4.363432527E-1,9.673771858E0
1.182576180E-1,-4.728548229E-2,4.171896577E-1,9.673771858E0
1.202560560E-1,-3.770867735E-2,4.171896577E-1,9.702502251E0
1.222544930E-1,-2.334346622E-2,4.124012291E-1,9.721655846E0
1.242529310E-1,-4.189853091E-3,4.459200799E-1,9.707290649E0
1.262513680E-1,-8.978256024E-3,4.794389009E-1,9.678560257E0
1.282498060E-1,-3.770867735E-2,4.890156984E-1,9.673771858E0
1.302482430E-1,-3.292027488E-2,5.033808947E-1,9.654618263E0
1.322466810E-1,-4.189853091E-3,5.129576921E-1,9.606734276E0
1.342451180E-1,-6.165069342E-2,5.368997455E-1,9.683348656E0
1.362435560E-1,-6.165069342E-2,5.464765429E-1,9.836577415E0
1.382419930E-1,-4.249707982E-2,5.368997455E-1,9.850942612E0
