"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.945427600E-2,-1.252939987E1,-1.417640018E1,-4.765319824E1
4.945427600E-2,-1.252939987E1,-1.417640018E1,-4.754339981E1
5.945427600E-2,-1.233419991E1,-1.415199947E1,-4.751899719E1
6.945427600E-2,-1.233419991E1,-1.415199947E1,-4.767760086E1
7.945427600E-2,-1.235859966E1,-1.418859959E1,-4.777519989E1
8.945427600E-2,-1.228539944E1,-1.411539936E1,-4.783620071E1
9.945427600E-2,-1.215119934E1,-1.410319996E1,-4.786059952E1
1.045727650E-1,-1.217560005E1,-1.405439949E1,-4.788499832E1
1.094542760E-1,-1.215119934E1,-1.400559998E1,-4.794599915E1
1.194542760E-1,-1.206579971E1,-1.396899986E1,-4.800699997E1
1.294542760E-1,-1.213899994E1,-1.396899986E1,-4.804359818E1
1.394542760E-1,-1.212679958E1,-1.395679951E1,-4.805579758E1
1.494542760E-1,-1.216339970E1,-1.389579964E1,-4.811679840E1
1.594542760E-1,-1.227320004E1,-1.395679951E1,-4.817779922E1
1.694542760E-1,-1.246840000E1,-1.398119926E1,-4.820219803E1
1.794542760E-1,-1.254160023E1,-1.412759972E1,-4.828759766E1
1.894542760E-1,-1.259039974E1,-1.426179981E1,-4.838520050E1
1.994542760E-1,-1.273680019E1,-1.433500004E1,-4.848279953E1
2.094542760E-1,-1.282219982E1,-1.448139954E1,-4.870240021E1
2.194542760E-1,-1.294419956E1,-1.470099926E1,-4.883659744E1
2.294542760E-1,-1.300519943E1,-1.495720005E1,-4.892200089E1
2.394542760E-1,-1.309060001E1,-1.521339989E1,-4.904399872E1
2.494542760E-1,-1.315159988E1,-1.556719971E1,-4.916600037E1
2.594542760E-1,-1.320039940E1,-1.588439941E1,-4.926359940E1
2.694542760E-1,-1.326139927E1,-1.631139946E1,-4.926359940E1
2.794542760E-1,-1.326139927E1,-1.676280022E1,-4.928799820E1
2.894542760E-1,-1.322480011E1,-1.718980026E1,-4.922699738E1
2.994542760E-1,-1.311499977E1,-1.762899971E1,-4.917819977E1
3.094542760E-1,-1.301739979E1,-1.810479927E1,-4.901959991E1
3.194542760E-1,-1.279780006E1,-1.853179932E1,-4.881219864E1
3.294542760E-1,-1.252939987E1,-1.892219925E1,-4.869020081E1
3.394542760E-1,-1.219999981E1,-1.921500015E1,-4.848279953E1
3.494542760E-1,-1.182180023E1,-1.948340034E1,-4.821439743E1
3.594542760E-1,-1.140699959E1,-1.977619934E1,-4.801919937E1
3.694542760E-1,-1.099219990E1,-2.000799942E1,-4.777519989E1
3.794542760E-1,-1.056519985E1,-2.010560036E1,-4.748239899E1
3.894542760E-1,-1.012599945E1,-2.015439987E1,-4.729940033E1
3.994542760E-1,-9.723400116E0,-2.021539879E1,-4.711639786E1
4.094542760E-1,-9.345199585E0,-2.025199890E1,-4.682360077E1
4.194542760E-1,-9.003600121E0,-2.033740044E1,-4.656739807E1
4.294542760E-1,-8.674200058E0,-2.037400055E1,-4.643320084E1
4.394542760E-1,-8.405799866E0,-2.041059875E1,-4.627460098E1
4.494542760E-1,-8.100799561E0,-2.039839935E1,-4.611599731E1
4.594542760E-1,-7.893399715E0,-2.041059875E1,-4.594519806E1
4.694542760E-1,-7.685999870E0,-2.044719887E1,-4.575000000E1
4.794542760E-1,-7.490799904E0,-2.047159958E1,-4.555479813E1
4.894542760E-1,-7.307799816E0,-2.050819969E1,-4.544499969E1
4.994542760E-1,-7.197999954E0,-2.050819969E1,-4.529859924E1
5.094542760E-1,-7.137000084E0,-2.047159958E1,-4.517659760E1
5.194542760E-1,-7.112599850E0,-2.045940018E1,-4.499359894E1
5.294542760E-1,-7.112599850E0,-2.049600029E1,-4.483499908E1
5.394542760E-1,-7.197999954E0,-2.054479980E1,-4.467639923E1
5.494542760E-1,-7.258999825E0,-2.056920052E1,-4.456660080E1
5.594542760E-1,-7.319999695E0,-2.053260040E1,-4.446899796E1
