"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.109115500E-2,8.200141042E-2,5.805939063E-2,9.467870712E0
2.309115500E-2,8.200141042E-2,2.932897024E-2,9.549273491E0
2.445339400E-2,1.538274586E-1,2.454056777E-2,9.606734276E0
2.641860300E-2,1.729810685E-1,3.890577704E-2,9.621099472E0
2.838381100E-2,1.921346933E-1,7.721300423E-2,9.601945877E0
3.013709200E-2,1.586158574E-1,9.157821536E-2,9.587580681E0
3.192709200E-2,1.634042710E-1,1.011550203E-1,9.601945877E0
3.389230100E-2,1.394622475E-1,1.155202314E-1,9.611522675E0
3.585750900E-2,1.346738487E-1,1.490390599E-1,9.635464668E0
3.782271700E-2,1.250970364E-1,1.586158574E-1,9.640253067E0
3.978792600E-2,1.203086376E-1,1.921346933E-1,9.649829865E0
4.175313400E-2,1.298854351E-1,1.681926697E-1,9.668983459E0
4.371834200E-2,1.203086376E-1,1.634042710E-1,9.673771858E0
4.568355100E-2,1.250970364E-1,1.538274586E-1,9.654618263E0
4.764875900E-2,1.203086376E-1,1.777694821E-1,9.621099472E0
4.961396700E-2,1.155202314E-1,1.442506462E-1,9.621099472E0
5.157917600E-2,1.203086376E-1,1.538274586E-1,9.611522675E0
5.354438400E-2,1.394622475E-1,1.729810685E-1,9.616311073E0
5.550959200E-2,1.538274586E-1,1.586158574E-1,9.640253067E0
5.747480100E-2,1.586158574E-1,1.346738487E-1,9.659406662E0
5.944000900E-2,1.346738487E-1,1.538274586E-1,9.640253067E0
6.140521700E-2,1.442506462E-1,1.777694821E-1,9.630676270E0
6.337042600E-2,1.346738487E-1,1.777694821E-1,9.635464668E0
6.533563400E-2,1.298854351E-1,1.825578809E-1,9.635464668E0
6.730084200E-2,1.586158574E-1,2.064998895E-1,9.645041466E0
6.926605100E-2,1.538274586E-1,2.208651006E-1,9.649829865E0
7.123125900E-2,1.538274586E-1,2.543839216E-1,9.692925453E0
7.319646700E-2,1.538274586E-1,2.735375464E-1,9.716867447E0
7.516167600E-2,1.442506462E-1,2.783259451E-1,9.750386238E0
7.712688400E-2,1.586158574E-1,2.879027426E-1,9.783905029E0
7.909209200E-2,1.586158574E-1,3.214215636E-1,9.807847023E0
8.105730100E-2,1.586158574E-1,4.124012291E-1,9.822212219E0
8.302250900E-2,1.442506462E-1,4.842272997E-1,9.841365814E0
8.498771700E-2,1.538274586E-1,6.135141850E-1,9.855731010E0
8.695370700E-2,1.873462796E-1,9.870096445E-1,9.865307808E0
8.892167600E-2,2.208651006E-1,1.446696401E0,9.860519409E0
9.089266500E-2,2.304419130E-1,1.714846969E0,9.908403397E0
9.286756100E-2,1.873462796E-1,1.710058570E0,1.000895977E1
9.484704000E-2,1.634042710E-1,1.700481772E0,1.010951710E1
9.683157200E-2,1.346738487E-1,1.786673069E0,1.016218948E1
9.882141500E-2,1.394622475E-1,1.925536752E0,1.019570827E1
1.008166240E-1,1.059434265E-1,2.011728048E0,1.022443867E1
1.028170400E-1,2.064998895E-1,2.107496023E0,1.019091988E1
1.048223010E-1,1.777694821E-1,2.112284422E0,1.020528507E1
1.068318320E-1,1.729810685E-1,2.078765631E0,1.017655468E1
1.088449050E-1,1.729810685E-1,2.145803213E0,1.006163311E1
1.108607380E-1,2.400187254E-1,2.141014814E0,1.012867069E1
1.128784470E-1,2.160767019E-1,2.045246840E0,1.020528507E1
1.148970920E-1,2.017114908E-1,2.102707624E0,1.009994030E1
1.169157380E-1,2.783259451E-1,2.117072821E0,1.002811337E1
1.189120400E-1,2.639607489E-1,2.035670042E0,9.951498985E0
1.209082380E-1,2.591723204E-1,2.016516447E0,9.874884605E0
1.229044360E-1,2.304419130E-1,1.954267144E0,9.774328232E0
1.249006340E-1,2.495955229E-1,1.930325150E0,9.668983459E0
1.268968320E-1,1.729810685E-1,1.781884670E0,9.692925453E0
1.288930300E-1,1.394622475E-1,1.647809267E0,9.616311073E0
1.308892280E-1,1.250970364E-1,1.676539779E0,9.578003883E0
1.328853740E-1,1.059434265E-1,1.580771685E0,9.587580681E0
1.348815190E-1,9.157821536E-2,1.480215192E0,9.702502251E0
1.368776650E-1,4.369417951E-2,1.470638394E0,9.846154213E0
1.388738110E-1,5.327098817E-2,1.561618090E0,9.836577415E0
1.408699570E-1,1.496376097E-2,1.652597666E0,9.453505516E0
1.428661030E-1,-2.334346622E-2,1.777096152E0,9.132682800E0
1.448622490E-1,-9.516951442E-2,1.657386184E0,9.209297180E0
1.468583940E-1,-8.559270948E-2,1.666962981E0,9.525331497E0
1.488545400E-1,-7.122749835E-2,1.748365760E0,9.539696693E0
1.508506860E-1,5.985504249E-4,1.892017841E0,9.233239174E0
1.528468320E-1,-5.207388848E-2,1.839345455E0,9.266757965E0
1.548429780E-1,-2.334346622E-2,1.887229443E0,9.439140320E0
1.568391240E-1,3.890577704E-2,1.863287449E0,9.549273491E0
1.588352690E-1,7.242459804E-2,1.681328177E0,9.625887871E0
1.608314150E-1,1.538274586E-1,1.901594758E0,9.798270226E0
1.628275610E-1,2.208651006E-1,2.155380011E0,9.640253067E0
1.648237070E-1,1.873462796E-1,2.112284422E0,9.295488358E0
1.668198530E-1,5.327098817E-2,2.035670042E0,9.534908295E0
1.688159990E-1,4.369417951E-2,2.222417831E0,9.812635422E0
1.708121440E-1,-3.770867735E-2,2.476203203E0,9.463082314E0
1.728082900E-1,-1.376665942E-2,2.299032211E0,9.501389503E0
1.748044360E-1,-5.207388848E-2,2.265513420E0,9.850942612E0
1.768005820E-1,-7.601590455E-2,2.346916199E0,9.649829865E0
1.787967280E-1,-9.516951442E-2,2.275090218E0,9.477447510E0
1.807928740E-1,-1.526303589E-1,2.241571426E0,9.534908295E0
1.827890190E-1,-1.238999367E-1,2.303820610E0,9.544485092E0
1.847851650E-1,-8.080431074E-2,2.217629433E0,9.606734276E0
1.867813110E-1,-1.376665942E-2,2.342127800E0,9.635464668E0
1.887775090E-1,1.496376097E-2,2.289455414E0,9.678560257E0
1.907737070E-1,-2.334346622E-2,2.284667015E0,9.688137054E0
1.927699050E-1,2.454056777E-2,2.327762604E0,9.788693428E0
1.947661030E-1,-4.189853091E-3,2.212841034E0,9.913191795E0
1.967623010E-1,8.678980917E-2,2.370858192E0,9.855731010E0
1.987584990E-1,1.442506462E-1,2.495356798E0,9.625887871E0
2.007546970E-1,-8.978256024E-3,2.337339401E0,9.506177902E0
2.027508940E-1,5.985504249E-4,2.342127800E0,9.688137054E0
2.047470920E-1,5.805939063E-2,2.409165382E0,9.774328232E0
2.067432900E-1,5.327098817E-2,2.356492996E0,9.683348656E0
2.087394880E-1,-8.978256024E-3,2.222417831E0,9.836577415E0
2.107356860E-1,7.721300423E-2,2.342127800E0,9.937133789E0
2.127318840E-1,1.729810685E-1,2.327762604E0,9.874884605E0
2.147280820E-1,1.442506462E-1,2.370858192E0,1.007120991E1
2.167242800E-1,2.112883031E-1,2.437895775E0,1.002332497E1
