"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.994683200E-2,1.011550203E-1,3.932476342E-1,9.554061890E0
2.194459300E-2,1.059434265E-1,3.884592354E-1,9.582792282E0
2.394235300E-2,1.155202314E-1,3.693056107E-1,9.601945877E0
2.594000900E-2,1.538274586E-1,2.543839216E-1,9.606734276E0
2.793766600E-2,1.250970364E-1,2.448071241E-1,9.601945877E0
2.993532200E-2,1.107318252E-1,3.166331649E-1,9.573215485E0
3.193287400E-2,1.298854351E-1,3.788824081E-1,9.587580681E0
3.393021800E-2,1.107318252E-1,4.219780564E-1,9.592369080E0
3.592756100E-2,1.059434265E-1,4.554968774E-1,9.597157478E0
3.792490500E-2,1.250970364E-1,4.602852762E-1,9.587580681E0
3.992224900E-2,1.250970364E-1,4.459200799E-1,9.640253067E0
4.191959300E-2,1.250970364E-1,4.746504724E-1,9.721655846E0
4.391693600E-2,1.394622475E-1,4.938040972E-1,9.908403397E0
4.591433200E-2,1.681926697E-1,5.033808947E-1,1.011430550E1
4.791178000E-2,1.873462796E-1,5.321113467E-1,1.009994030E1
4.990928000E-2,1.490390599E-1,5.799953341E-1,9.956287384E0
5.190683200E-2,1.346738487E-1,8.242039084E-1,9.855731010E0
5.390443600E-2,2.400187254E-1,1.298255920E0,9.803058624E0
5.590214500E-2,4.076128304E-1,1.987785935E0,9.884461403E0
5.789990500E-2,4.650736749E-1,2.117072821E0,1.008078671E1
5.989777000E-2,5.273229480E-1,2.117072821E0,1.016697788E1
6.189568600E-2,5.081692934E-1,2.035670042E0,1.019091988E1
6.389365500E-2,4.650736749E-1,1.925536752E0,1.017176628E1
6.589167600E-2,4.124012291E-1,1.724423766E0,1.019570827E1
6.788974900E-2,3.166331649E-1,1.518522382E0,1.015261269E1
6.988787400E-2,2.831143439E-1,1.336563110E0,1.007120991E1
7.188599900E-2,2.448071241E-1,1.183334231E0,1.004726696E1
7.388412400E-2,2.256535143E-1,1.044470549E0,9.932345390E0
7.588224900E-2,2.495955229E-1,9.199720025E-1,9.874884605E0
7.788037400E-2,2.591723204E-1,8.289923668E-1,9.836577415E0
7.987849900E-2,2.591723204E-1,7.619546652E-1,9.803058624E0
8.187636300E-2,2.783259451E-1,7.715315223E-1,9.783905029E0
8.387422800E-2,2.926911712E-1,8.481459618E-1,9.721655846E0
8.587209300E-2,2.735375464E-1,9.103952050E-1,9.726444244E0
8.786985300E-2,2.591723204E-1,9.630676508E-1,9.803058624E0
8.986761300E-2,2.160767019E-1,1.125873327E0,9.812635422E0
9.186537400E-2,2.448071241E-1,1.288679123E0,9.850942612E0
9.386313400E-2,2.735375464E-1,1.379658699E0,9.922768593E0
9.586089500E-2,2.974795699E-1,1.547252893E0,9.927556992E0
9.785865500E-2,2.879027426E-1,1.714846969E0,9.917980194E0
9.985641600E-2,2.879027426E-1,1.868075848E0,9.922768593E0
1.018541760E-1,2.831143439E-1,2.035670042E0,9.941922188E0
1.038519360E-1,2.400187254E-1,2.150591612E0,1.015740108E1
1.058496970E-1,1.873462796E-1,2.251148224E0,1.032499504E1
1.078474570E-1,2.017114908E-1,2.265513420E0,1.042076302E1
1.098452180E-1,2.017114908E-1,2.308609009E0,1.046864700E1
1.118429780E-1,2.064998895E-1,2.413953781E0,1.041597462E1
1.138407380E-1,1.394622475E-1,2.504933596E0,1.044949341E1
1.158384990E-1,8.200141042E-2,2.567182779E0,1.034414864E1
1.178362590E-1,9.636662155E-2,2.648585558E0,1.017176628E1
1.198340200E-1,1.394622475E-1,2.715623379E0,1.000417137E1
1.218317800E-1,2.112883031E-1,2.763507366E0,9.927556992E0
1.238295410E-1,2.112883031E-1,2.634220362E0,1.004247856E1
1.258273010E-1,2.543839216E-1,2.457049608E0,1.033457184E1
1.278250610E-1,2.543839216E-1,2.342127800E0,1.046385860E1
1.298228220E-1,2.495955229E-1,2.299032211E0,1.066018295E1
1.318205820E-1,3.166331649E-1,2.437895775E0,1.035851383E1
1.338183430E-1,3.118447661E-1,2.629431963E0,9.898826599E0
1.358161030E-1,2.448071241E-1,2.610278368E0,9.649829865E0
1.378138630E-1,2.495955229E-1,2.399588585E0,1.004726696E1
1.398116240E-1,2.735375464E-1,2.260725021E0,1.030584145E1
1.418094360E-1,2.879027426E-1,2.390011787E0,9.922768593E0
1.438072490E-1,2.639607489E-1,2.495356798E0,9.712079048E0
1.458050610E-1,2.687491477E-1,2.447472572E0,9.793481827E0
1.478028740E-1,2.974795699E-1,2.461838007E0,9.913191795E0
1.498006860E-1,3.262099922E-1,2.409165382E0,1.004247856E1
1.517984470E-1,3.932476342E-1,2.466626406E0,1.003769016E1
1.537959990E-1,3.884592354E-1,2.557605982E0,9.774328232E0
1.557935510E-1,3.836708367E-1,2.820968151E0,9.257181168E0
1.577911030E-1,3.788824081E-1,2.820968151E0,9.487024307E0
1.597886550E-1,3.166331649E-1,2.749142170E0,9.841365814E0
1.617862070E-1,2.639607489E-1,2.806602955E0,9.889249802E0
1.637837590E-1,1.729810685E-1,2.696469545E0,1.009994030E1
1.657813110E-1,8.678980917E-2,2.835333347E0,1.021965027E1
1.677788630E-1,1.975216344E-2,3.175309896E0,9.894038200E0
1.697764160E-1,-2.813187055E-2,3.433883905E0,9.692925453E0
1.717739680E-1,-6.643909961E-2,3.400364876E0,1.017176628E1
1.737715200E-1,-1.765723825E-1,3.563170671E0,1.012867069E1
1.757690720E-1,-2.723404467E-1,3.826532841E0,9.688137054E0
1.777666240E-1,-3.489548862E-1,3.697246075E0,1.010472870E1
1.797641760E-1,-3.728969097E-1,3.486556292E0,1.049737740E1
1.817617800E-1,-4.207809567E-1,3.558382273E0,1.022922707E1
1.837594360E-1,-4.638765752E-1,3.630208254E0,9.898826599E0
1.857571450E-1,-5.931634903E-1,2.969408751E0,1.091396809E1
1.877549050E-1,-5.787982345E-1,3.046023130E0,1.051174259E1
1.897526660E-1,-6.027402878E-1,3.385999680E0,9.812635422E0
1.917504260E-1,-6.937199235E-1,3.304596901E0,9.520543098E0
1.937481860E-1,-6.793547273E-1,2.955043554E0,1.032978344E1
1.957459470E-1,-5.787982345E-1,3.098695517E0,9.836577415E0
1.977437070E-1,-5.883750916E-1,2.883217335E0,1.007120991E1
1.997414680E-1,-6.218938828E-1,2.840121746E0,9.755174637E0
2.017392280E-1,-6.410474777E-1,2.658162355E0,9.846154213E0
2.037369880E-1,-6.314706802E-1,2.787449360E0,9.563638687E0
2.057347490E-1,-6.458359361E-1,2.806602955E0,9.702502251E0
2.077325090E-1,-6.362590790E-1,2.677315950E0,9.803058624E0
2.097302700E-1,-6.985083222E-1,2.624643564E0,9.941922188E0
2.117280300E-1,-6.985083222E-1,2.533663988E0,9.640253067E0
2.137257910E-1,-7.320271730E-1,2.399588585E0,1.013345909E1
2.157235510E-1,-7.990648150E-1,2.739565372E0,9.472659111E0
2.177213110E-1,-8.373720646E-1,2.782660961E0,9.041702271E0
2.197190720E-1,-8.900445104E-1,2.792237759E0,8.553285599E0
2.217168320E-1,-9.475052953E-1,2.777872562E0,8.558073997E0
2.237145930E-1,-9.044097066E-1,2.610278368E0,8.931569099E0
2.257123530E-1,-8.134300113E-1,2.346916199E0,9.860519409E0
2.277101130E-1,-7.607575655E-1,2.356492996E0,1.023401546E1
2.297078740E-1,-7.463923693E-1,2.437895775E0,9.774328232E0
2.317056340E-1,-7.751228213E-1,2.476203203E0,9.673771858E0
2.337033950E-1,-7.607575655E-1,2.409165382E0,9.415198326E0
2.357011550E-1,-8.373720646E-1,2.337339401E0,9.391256332E0
2.376989160E-1,-8.325836658E-1,2.820968151E0,8.084021568E0
2.396966760E-1,-8.661024570E-1,2.720411777E0,7.787140846E0
2.416944360E-1,-7.990648150E-1,2.332551003E0,8.079233170E0
2.436921970E-1,-6.793547273E-1,2.203263998E0,8.562862396E0
2.456899570E-1,-5.883750916E-1,2.169745207E0,8.711302757E0
2.476877180E-1,-4.207809567E-1,1.714846969E0,9.884461403E0
2.496854260E-1,-4.064157307E-1,1.724423766E0,9.999382973E0
2.516829260E-1,-4.830302000E-1,2.093130827E0,8.984241486E0
2.536804260E-1,-4.207809567E-1,1.772307754E0,9.147047997E0
2.556779260E-1,-4.926069975E-1,1.853710651E0,9.233239174E0
2.576754260E-1,-5.979518890E-1,2.303820610E0,8.768763542E0
2.596729260E-1,-5.261258483E-1,2.083554029E0,9.190143585E0
2.616704260E-1,-4.926069975E-1,1.370081902E0,1.026274586E1
2.636679780E-1,-6.266822815E-1,1.997362733E0,9.022548676E0
2.656655820E-1,-6.362590790E-1,2.346916199E0,8.720879555E0
2.676632380E-1,-5.069721937E-1,2.083554029E0,9.261969566E0
2.696609470E-1,-4.973953962E-1,1.772307754E0,9.865307808E0
2.716587070E-1,-5.979518890E-1,2.500145197E0,8.500613213E0
2.736564680E-1,-6.985083222E-1,2.849698544E0,7.451952934E0
2.756542280E-1,-5.835866928E-1,2.050035238E0,8.898050308E0
2.776519880E-1,-4.303577542E-1,1.815403461E0,9.300276756E0
2.796497490E-1,-3.728969097E-1,2.045246840E0,9.448717117E0
2.816475090E-1,-2.962824702E-1,1.973420739E0,9.635464668E0
2.836452700E-1,-2.483984232E-1,1.944690347E0,9.056067467E0
2.856430300E-1,-2.819172442E-1,1.915959954E0,8.831012726E0
2.876404260E-1,-2.388216257E-1,1.872864246E0,9.343372345E0
2.896377700E-1,-2.005143911E-1,2.073977232E0,8.519766808E0
2.916351130E-1,-1.574187577E-1,1.858499050E0,9.405621529E0
2.936324570E-1,-1.526303589E-1,2.078765631E0,8.625111580E0
2.956298010E-1,-1.478419602E-1,2.308609009E0,8.672995567E0
2.976271450E-1,-1.143231317E-1,2.485780001E0,7.796717644E0
2.996244880E-1,7.242459804E-2,1.523310781E0,1.011909389E1
3.016218320E-1,1.729810685E-1,1.810615063E0,9.448717117E0
3.036191760E-1,2.591723204E-1,2.064400434E0,9.621099472E0
3.056165720E-1,3.453635871E-1,2.188898802E0,9.678560257E0
3.076140200E-1,3.501519859E-1,2.131438017E0,9.482235909E0
3.096115200E-1,2.400187254E-1,1.585560083E0,9.846154213E0
3.116090720E-1,1.538274586E-1,2.097919226E0,9.482235909E0
3.136066760E-1,1.634042710E-1,1.987785935E0,1.056920338E1
3.156043320E-1,1.298854351E-1,2.184110403E0,9.803058624E0
3.176020410E-1,6.284779310E-2,2.251148224E0,9.841365814E0
3.195998010E-1,1.250970364E-1,2.457049608E0,1.016697788E1
3.215976130E-1,-9.995792061E-2,2.897582531E0,9.649829865E0
3.235954780E-1,-2.148796022E-1,2.591124773E0,1.055004978E1
3.255933430E-1,-7.122749835E-2,2.672527552E0,9.357737541E0
3.275912070E-1,2.932897024E-2,2.639008760E0,9.683348656E0
3.295890720E-1,-1.855506375E-2,2.471414804E0,9.415198326E0
3.315865720E-1,9.636662155E-2,1.623867273E0,1.092833328E1
3.335840200E-1,-2.334346622E-2,2.452261209E0,9.985017776E0
3.355814680E-1,-1.478419602E-1,2.701258183E0,8.519766808E0
3.375789160E-1,-1.622071713E-1,2.097919226E0,9.204508781E0
3.395763630E-1,-9.038111567E-2,1.523310781E0,1.132577133E1
3.415738110E-1,-1.622071713E-1,2.265513420E0,9.635464668E0
3.435712590E-1,-8.080431074E-2,2.260725021E0,9.630676270E0
3.455687590E-1,1.394622475E-1,1.513733983E0,1.123000336E1
3.475663110E-1,1.011550203E-1,1.944690347E0,1.047343540E1
3.495639160E-1,-6.643909961E-2,2.792237759E0,8.304288864E0
3.515615720E-1,3.411737457E-2,1.877652645E0,9.812635422E0
3.535592800E-1,1.969230920E-1,1.259948611E0,1.145984650E1
3.555570410E-1,1.011550203E-1,1.681328177E0,9.161413193E0
3.575548010E-1,1.442506462E-1,2.543240786E0,9.209297180E0
3.595525610E-1,2.400187254E-1,2.399588585E0,1.043033981E1
3.615503220E-1,2.112883031E-1,2.452261209E0,9.841365814E0
3.635480820E-1,3.740940094E-1,2.466626406E0,1.003290176E1
3.655458430E-1,3.884592354E-1,2.811391354E0,9.362525940E0
3.675436030E-1,4.985924959E-1,2.471414804E0,1.002332497E1
3.695413630E-1,4.698620737E-1,2.686892748E0,9.381679535E0
3.715390200E-1,3.645172119E-1,2.993350744E0,8.701725960E0
3.735366240E-1,3.693056107E-1,2.303820610E0,9.779116631E0
3.755340200E-1,2.926911712E-1,2.461838007E0,9.357737541E0
3.775314160E-1,3.501519859E-1,2.112284422E0,1.022443867E1
3.795288110E-1,3.836708367E-1,2.246359825E0,1.027711105E1
3.815262070E-1,4.124012291E-1,1.796249866E0,1.061229897E1
3.835236030E-1,2.639607489E-1,1.911171556E0,1.003769016E1
3.855210510E-1,2.448071241E-1,2.284667015E0,9.333795547E0
3.875185510E-1,1.681926697E-1,2.533663988E0,9.520543098E0
3.895161030E-1,2.208651006E-1,2.241571426E0,9.376891136E0
3.915137070E-1,2.639607489E-1,1.566406488E0,1.012867069E1
3.935113630E-1,1.921346933E-1,2.356492996E0,9.247604370E0
3.955090720E-1,2.112883031E-1,2.164956808E0,9.247604370E0
3.975068320E-1,1.921346933E-1,1.465849996E0,1.019091988E1
3.995046450E-1,1.634042710E-1,1.686116576E0,9.621099472E0
4.015025090E-1,7.242459804E-2,2.179322004E0,9.108740807E0
4.035004260E-1,2.932897024E-2,2.236783028E0,8.548497200E0
4.054983430E-1,5.386953708E-3,1.872864246E0,9.338583946E0
4.074962590E-1,2.454056777E-2,1.724423766E0,1.024359226E1
4.094941760E-1,3.890577704E-2,1.547252893E0,9.917980194E0
4.114918320E-1,-8.559270948E-2,1.671751380E0,9.707290649E0
4.134894880E-1,-1.047463268E-1,2.404376984E0,8.840589523E0
4.154871450E-1,1.250970364E-1,2.251148224E0,8.553285599E0
4.174848010E-1,2.543839216E-1,1.896806240E0,8.356961250E0
4.194824570E-1,4.124012291E-1,1.451484799E0,1.039203262E1
4.214801130E-1,5.225345492E-1,1.628655672E0,1.042555141E1
4.234777700E-1,6.661866307E-1,2.783259451E-1,1.255160236E1
4.254753220E-1,5.464765429E-1,1.441908002E0,1.001853657E1
4.274728740E-1,4.363432527E-1,1.475426793E0,1.004726696E1
4.294704260E-1,3.453635871E-1,1.552041292E0,1.067933655E1
4.314679780E-1,2.879027426E-1,2.164956808E0,1.016697788E1
4.334655300E-1,4.938040972E-1,2.083554029E0,1.041118622E1
4.354630820E-1,4.554968774E-1,2.040458441E0,1.116775417E1
4.374606340E-1,4.076128304E-1,2.198475599E0,1.077031612E1
4.394581860E-1,4.602852762E-1,2.021304846E0,1.059793377E1
4.414557380E-1,5.225345492E-1,2.390011787E0,1.109113979E1
4.434532910E-1,3.549404144E-1,3.065176725E0,8.735244751E0
4.454508950E-1,3.453635871E-1,2.337339401E0,9.558850288E0
4.474485510E-1,3.884592354E-1,2.145803213E0,1.000895977E1
4.494462590E-1,5.799953341E-1,1.494580388E0,1.169926643E1
4.514440200E-1,6.661866307E-1,2.179322004E0,9.601945877E0
4.534417800E-1,5.895721912E-1,2.423530579E0,9.180566788E0
4.554395410E-1,5.799953341E-1,2.117072821E0,1.043033981E1
4.574373010E-1,5.368997455E-1,2.006939650E0,1.021965027E1
4.594350610E-1,4.171896577E-1,1.930325150E0,9.621099472E0
4.614328220E-1,2.974795699E-1,1.892017841E0,9.333795547E0
4.634305820E-1,2.831143439E-1,1.575983286E0,9.846154213E0
4.654283430E-1,2.974795699E-1,1.245583415E0,1.040160942E1
4.674261030E-1,3.309983909E-1,1.346139908E0,1.023401546E1
4.694238630E-1,2.112883031E-1,1.504157186E0,9.606734276E0
4.714216240E-1,2.926911712E-1,1.542464495E0,9.937133789E0
4.734192280E-1,2.448071241E-1,1.815403461E0,9.630676270E0
4.754168320E-1,9.636662155E-2,1.872864246E0,9.391256332E0
4.774144360E-1,1.538274586E-1,1.508945584E0,1.026274586E1
4.794120410E-1,1.729810685E-1,2.227206230E0,8.711302757E0
4.814096450E-1,2.256535143E-1,1.925536752E0,9.266757965E0
4.834072490E-1,2.112883031E-1,1.614290476E0,1.027711105E1
4.854048530E-1,7.242459804E-2,1.695693374E0,1.016697788E1
4.874024570E-1,6.763619930E-2,2.107496023E0,9.027337074E0
4.894001130E-1,5.386953708E-3,2.035670042E0,9.582792282E0
4.913977700E-1,-4.728548229E-2,1.968632340E0,9.376891136E0
4.933954780E-1,-1.047463268E-1,1.609502077E0,9.879673004E0
4.953931860E-1,3.411737457E-2,1.489791989E0,9.597157478E0
4.973908950E-1,-6.165069342E-2,1.307832718E0,9.597157478E0
4.993886030E-1,-1.855506375E-2,1.231218219E0,1.019091988E1
5.013863110E-1,5.327098817E-2,1.240795016E0,9.601945877E0
5.033840200E-1,7.242459804E-2,1.173757434E0,9.779116631E0
5.053817280E-1,1.394622475E-1,7.428010702E-1,1.052610779E1
5.073794880E-1,4.369417951E-2,1.250371814E0,9.788693428E0
5.093772490E-1,1.969230920E-1,2.217629433E0,8.313865662E0
5.113750610E-1,3.357867897E-1,1.925536752E0,9.515754700E0
5.133729260E-1,4.507084787E-1,1.149815321E0,1.029147625E1
5.153708430E-1,4.890156984E-1,1.523310781E0,9.175778389E0
5.173687590E-1,6.039373875E-1,2.030881643E0,8.979453087E0
