"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.652308200E-2,-3.013399839E0,-8.149600029E0,-5.347259903E1
4.652308200E-2,-3.110999823E0,-8.052000046E0,-5.343600082E1
5.652308200E-2,-3.110999823E0,-8.234999657E0,-5.353359985E1
6.652308200E-2,-3.135400057E0,-8.234999657E0,-5.361899948E1
7.652308200E-2,-3.037799835E0,-8.247200012E0,-5.377759933E1
8.652308200E-2,-3.074399948E0,-8.137399673E0,-5.399720001E1
9.460063400E-2,-3.086599827E0,-8.052000046E0,-5.408259964E1
9.652308200E-2,-3.074399948E0,-7.942199707E0,-5.424119949E1
1.065230820E-1,-3.074399948E0,-7.820199966E0,-5.446080017E1
1.165230820E-1,-3.062199831E0,-7.771399975E0,-5.483900070E1
1.265230820E-1,-3.049999952E0,-7.600599766E0,-5.520499802E1
1.365230820E-1,-3.001199961E0,-7.490799904E0,-5.569300079E1
1.465230820E-1,-3.001199961E0,-7.466399670E0,-5.616880035E1
1.565230820E-1,-2.964599848E0,-7.502999783E0,-5.664459991E1
1.665230820E-1,-2.903599977E0,-7.685999870E0,-5.727899933E1
1.765230820E-1,-2.830399990E0,-8.052000046E0,-5.796220016E1
1.865230820E-1,-2.757200003E0,-8.503399849E0,-5.876739883E1
1.965230820E-1,-2.622999907E0,-8.979199409E0,-5.938959885E1
2.065230820E-1,-2.549799919E0,-9.698999405E0,-6.008499908E1
2.165230820E-1,-2.488800049E0,-1.067500019E1,-6.056079865E1
2.265230820E-1,-2.452199936E0,-1.182180023E1,-6.098780060E1
2.365230820E-1,-2.427799940E0,-1.312720013E1,-6.119519806E1
2.465230820E-1,-2.403399944E0,-1.439599991E1,-6.125619888E1
2.565230820E-1,-2.525399923E0,-1.571360016E1,-6.091460037E1
2.665230820E-1,-2.598599911E0,-1.704339981E1,-6.029240036E1
2.765230820E-1,-2.793799877E0,-1.842199898E1,-5.959700012E1
2.865230820E-1,-2.988999844E0,-1.954439926E1,-5.868199921E1
2.965230820E-1,-3.184200048E0,-2.038619995E1,-5.765719986E1
3.065230820E-1,-3.440399885E0,-2.104500008E1,-5.648600006E1
3.165230820E-1,-3.586799860E0,-2.149639893E1,-5.537579727E1
3.265230820E-1,-3.855199814E0,-2.185019875E1,-5.422900009E1
3.365230820E-1,-4.099199772E0,-2.192339897E1,-5.320420074E1
3.465230820E-1,-4.404200077E0,-2.186240005E1,-5.228919983E1
3.565230820E-1,-4.684800148E0,-2.167939949E1,-5.145959854E1
3.665230820E-1,-4.928800106E0,-2.144759941E1,-5.071540070E1
3.765230820E-1,-5.245999813E0,-2.124020004E1,-5.011759949E1
3.865230820E-1,-5.526599884E0,-2.092300034E1,-4.961739731E1
3.965230820E-1,-5.892600060E0,-2.064239883E1,-4.912939835E1
4.065230820E-1,-6.185400009E0,-2.039839935E1,-4.870240021E1
4.165230820E-1,-6.453799725E0,-2.023979950E1,-4.840959930E1
4.265230820E-1,-6.734399796E0,-2.015439987E1,-4.815340042E1
4.365230820E-1,-6.953999996E0,-2.004459953E1,-4.779959869E1
4.465230820E-1,-7.234600067E0,-2.003240013E1,-4.750679779E1
4.565230820E-1,-7.429800034E0,-2.002019882E1,-4.723839951E1
4.665230820E-1,-7.698199749E0,-2.016659927E1,-4.698220062E1
4.765230820E-1,-7.856800079E0,-2.028859901E1,-4.675040054E1
4.865230820E-1,-8.052000046E0,-2.045940018E1,-4.648199844E1
4.965230820E-1,-8.173999786E0,-2.064239883E1,-4.627460098E1
5.065230820E-1,-8.283800125E0,-2.073999977E1,-4.604280090E1
5.165230820E-1,-8.418000221E0,-2.089859962E1,-4.594519806E1
5.265230820E-1,-8.454599380E0,-2.105719948E1,-4.578659821E1
5.365230820E-1,-8.454599380E0,-2.121579933E1,-4.564019775E1
5.465230820E-1,-8.405799866E0,-2.121579933E1,-4.550600052E1
5.565230820E-1,-8.356999397E0,-2.126459885E1,-4.537179947E1
5.665230820E-1,-8.283800125E0,-2.121579933E1,-4.523759842E1
5.765230820E-1,-8.259399414E0,-2.119140053E1,-4.511560059E1
5.865230820E-1,-8.125200272E0,-2.116699982E1,-4.499359894E1
5.965230820E-1,-8.015399933E0,-2.111820030E1,-4.477399826E1
6.065230820E-1,-7.966599941E0,-2.100839996E1,-4.470079803E1
6.165230820E-1,-7.954400063E0,-2.088640022E1,-4.460319901E1
6.265230820E-1,-7.942199707E0,-2.078879929E1,-4.454219818E1
6.365230820E-1,-7.942199707E0,-2.070339966E1,-4.443239975E1
6.465230820E-1,-7.978799820E0,-2.058139992E1,-4.444459915E1
6.565230820E-1,-7.954400063E0,-2.043499947E1,-4.437139893E1
6.665230820E-1,-7.990999699E0,-2.032519913E1,-4.434700012E1
6.765230820E-1,-7.954400063E0,-2.017879868E1,-4.434700012E1
6.865230820E-1,-7.942199707E0,-2.010560036E1,-4.427379990E1
6.965230820E-1,-7.893399715E0,-2.004459953E1,-4.420059967E1
7.065230820E-1,-7.795799732E0,-1.997139931E1,-4.411520004E1
7.165230820E-1,-7.722599983E0,-1.983720016E1,-4.410300064E1
7.265230820E-1,-7.637199879E0,-1.982499886E1,-4.400539780E1
7.365230820E-1,-7.588399887E0,-1.980060005E1,-4.390779877E1
7.465230820E-1,-7.502999783E0,-1.973959923E1,-4.387120056E1
7.565230820E-1,-7.454199791E0,-1.966639900E1,-4.379800034E1
7.665230820E-1,-7.356599808E0,-1.960540009E1,-4.379800034E1
7.765230820E-1,-7.271199703E0,-1.953219986E1,-4.370039749E1
7.865230820E-1,-7.222399712E0,-1.950779915E1,-4.365159988E1
7.965230820E-1,-7.222399712E0,-1.947119904E1,-4.363940048E1
8.065230820E-1,-7.137000084E0,-1.943459892E1,-4.363940048E1
8.165230820E-1,-7.075999737E0,-1.936139870E1,-4.363940048E1
8.265230820E-1,-7.100399971E0,-1.930039978E1,-4.360279846E1
8.365230820E-1,-7.075999737E0,-1.928820038E1,-4.366379929E1
8.465230820E-1,-7.112599850E0,-1.925160027E1,-4.365159988E1
8.565230820E-1,-7.100399971E0,-1.925160027E1,-4.372480011E1
8.665230820E-1,-7.112599850E0,-1.921500015E1,-4.373699951E1
8.765230820E-1,-7.088200092E0,-1.920279884E1,-4.370039749E1
8.865230820E-1,-7.124799728E0,-1.916619873E1,-4.366379929E1
8.965230820E-1,-7.088200092E0,-1.919059944E1,-4.365159988E1
9.065230820E-1,-7.051599979E0,-1.921500015E1,-4.365159988E1
9.165230820E-1,-7.063799858E0,-1.920279884E1,-4.356620026E1
9.265230820E-1,-7.039400101E0,-1.916619873E1,-4.351739883E1
9.365230820E-1,-7.051599979E0,-1.900759888E1,-4.349300003E1
9.465230820E-1,-7.027199745E0,-1.898320007E1,-4.348080063E1
9.565230820E-1,-7.002799988E0,-1.890999985E1,-4.352959824E1
9.665230820E-1,-6.978399754E0,-1.882460022E1,-4.354179764E1
9.765230820E-1,-6.990599632E0,-1.867819977E1,-4.360279846E1
9.865230820E-1,-7.002799988E0,-1.854399872E1,-4.360279846E1
9.965230820E-1,-6.978399754E0,-1.843420029E1,-4.362719727E1
1.006523082E0,-7.027199745E0,-1.839760017E1,-4.360279846E1
1.016523082E0,-7.075999737E0,-1.837319946E1,-4.367599869E1
1.026523082E0,-7.137000084E0,-1.828779984E1,-4.370039749E1
1.036523082E0,-7.234600067E0,-1.823900032E1,-4.367599869E1
1.046523082E0,-7.368799686E0,-1.821459961E1,-4.372480011E1
1.056523082E0,-7.515199661E0,-1.817799950E1,-4.373699951E1
1.066523082E0,-7.637199879E0,-1.817799950E1,-4.376139832E1
1.076523082E0,-7.783599854E0,-1.821459961E1,-4.372480011E1
1.086523082E0,-7.905600071E0,-1.812919998E1,-4.377359772E1
1.096523082E0,-8.015399933E0,-1.804380035E1,-4.376139832E1
1.106523082E0,-8.173999786E0,-1.795839882E1,-4.372480011E1
1.116523082E0,-8.259399414E0,-1.784860039E1,-4.374919891E1
1.126523082E0,-8.344799995E0,-1.769000053E1,-4.376139832E1
1.136523082E0,-8.466799736E0,-1.754360008E1,-4.381019974E1
1.146523082E0,-8.564399719E0,-1.737279892E1,-4.381019974E1
1.156523082E0,-8.698599815E0,-1.716539955E1,-4.383459854E1
1.166523082E0,-8.820599556E0,-1.694579887E1,-4.393219757E1
1.176523082E0,-9.052399635E0,-1.671399879E1,-4.401760101E1
1.186523082E0,-9.247599602E0,-1.638459969E1,-4.418840027E1
1.196523082E0,-9.515999794E0,-1.607959938E1,-4.434700012E1
1.206523082E0,-9.808799744E0,-1.571360016E1,-4.452999878E1
1.216523082E0,-1.013819981E1,-1.528660011E1,-4.476179886E1
1.226523082E0,-1.055299950E1,-1.479859924E1,-4.516439819E1
1.236523082E0,-1.090679932E1,-1.420079994E1,-4.576219940E1
1.246523082E0,-1.130939960E1,-1.354199982E1,-4.649419785E1
1.256523082E0,-1.171199989E1,-1.290759945E1,-4.734819794E1
1.266523082E0,-1.209019947E1,-1.232199955E1,-4.851939774E1
1.276523082E0,-1.243179989E1,-1.182180023E1,-4.987360001E1
1.286523082E0,-1.271239948E1,-1.189499950E1,-5.170359802E1
1.296523082E0,-1.293200016E1,-1.240740013E1,-5.357019806E1
1.306523082E0,-1.310279942E1,-1.345660019E1,-5.514399719E1
1.316523082E0,-1.332240009E1,-1.495720005E1,-5.638839722E1
1.326523082E0,-1.340779972E1,-1.706780052E1,-5.681539917E1
1.336523082E0,-1.337119961E1,-1.923939896E1,-5.686420059E1
1.346523082E0,-1.329799938E1,-2.152079964E1,-5.640060043E1
1.356523082E0,-1.317599964E1,-2.374119949E1,-5.550999832E1
1.366523082E0,-1.295639992E1,-2.546139908E1,-5.382640076E1
1.376523082E0,-1.270020008E1,-2.674239922E1,-5.199639893E1
1.386523082E0,-1.243179989E1,-2.751099968E1,-5.019079971E1
1.396523082E0,-1.206579971E1,-2.787699890E1,-4.853160095E1
1.406523082E0,-1.163879967E1,-2.771839905E1,-4.728720093E1
1.416523082E0,-1.129720020E1,-2.749880028E1,-4.627460098E1
1.426523082E0,-1.093120003E1,-2.713279915E1,-4.538399887E1
1.436523082E0,-1.061399937E1,-2.669359970E1,-4.468859863E1
