"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.551806890E-1,1.848299980E1,-2.380220032E1,-4.373699951E1,5.311394495E1
6.651806890E-1,1.850740051E1,-2.378999901E1,-4.371260071E1,5.309688679E1
6.751806890E-1,1.856839943E1,-2.368019867E1,-4.370039749E1,5.305904265E1
6.851806890E-1,1.866600037E1,-2.359479904E1,-4.372480011E1,5.307534509E1
6.951806890E-1,1.876359940E1,-2.353380013E1,-4.376139832E1,5.311282701E1
7.051806890E-1,1.883679962E1,-2.338739967E1,-4.384679794E1,5.314449335E1
7.151806890E-1,1.889780045E1,-2.326539993E1,-4.385899734E1,5.312266318E1
7.251806890E-1,1.890999985E1,-2.321660042E1,-4.396879959E1,5.319637174E1
7.351806890E-1,1.892219925E1,-2.314340019E1,-4.395660019E1,5.315871798E1
7.451806890E-1,1.897099876E1,-2.303359985E1,-4.400539780E1,5.316879302E1
7.551806890E-1,1.900759888E1,-2.302140045E1,-4.402980042E1,5.319677639E1
7.651806890E-1,1.901980019E1,-2.296039963E1,-4.406639862E1,5.320507718E1
7.751806890E-1,1.897099876E1,-2.297259903E1,-4.406639862E1,5.319291859E1
7.851806890E-1,1.897099876E1,-2.298480034E1,-4.406639862E1,5.319818914E1
7.951806890E-1,1.894659996E1,-2.302140045E1,-4.407859802E1,5.321542382E1
8.051806890E-1,1.895879936E1,-2.297259903E1,-4.404199982E1,5.316835645E1
8.151806890E-1,1.894659996E1,-2.291160011E1,-4.402980042E1,5.312756718E1
8.251806890E-1,1.894659996E1,-2.287500000E1,-4.401760101E1,5.310168052E1
8.351806890E-1,1.892219925E1,-2.286279869E1,-4.400539780E1,5.307760567E1
8.451806890E-1,1.888559914E1,-2.287500000E1,-4.401760101E1,5.307994611E1
8.551806890E-1,1.886120033E1,-2.285059929E1,-4.398099899E1,5.303039730E1
8.651806890E-1,1.877579880E1,-2.283839989E1,-4.394440079E1,5.296445497E1
8.751806890E-1,1.875139999E1,-2.277739906E1,-4.399319839E1,5.297005206E1
8.851806890E-1,1.871479988E1,-2.280179977E1,-4.404199982E1,5.300814612E1
8.951806890E-1,1.866600037E1,-2.282620049E1,-4.410300064E1,5.305214099E1
9.051806890E-1,1.860499954E1,-2.278960037E1,-4.407859802E1,5.299466668E1
9.151806890E-1,1.854399872E1,-2.277739906E1,-4.417620087E1,5.304928387E1
9.251806890E-1,1.848299980E1,-2.271640015E1,-4.418840027E1,5.301198766E1
9.351806890E-1,1.845859909E1,-2.263099861E1,-4.424939728E1,5.301783792E1
9.451806890E-1,1.848299980E1,-2.253339958E1,-4.426160049E1,5.299494935E1
9.551806890E-1,1.843420029E1,-2.254559898E1,-4.426160049E1,5.298313932E1
9.651806890E-1,1.839760017E1,-2.250899887E1,-4.424939728E1,5.294464923E1
9.751806890E-1,1.833659935E1,-2.247239876E1,-4.426160049E1,5.291813356E1
9.851806890E-1,1.831220055E1,-2.248460007E1,-4.434700012E1,5.298632228E1
9.951806890E-1,1.832439995E1,-2.247239876E1,-4.432259750E1,5.296494113E1
1.005180689E0,1.827560043E1,-2.244799995E1,-4.434700012E1,5.295815983E1
1.015180689E0,1.823900032E1,-2.243579865E1,-4.437139893E1,5.296080849E1
1.025180689E0,1.822679901E1,-2.249679947E1,-4.437139893E1,5.298248042E1
1.035180689E0,1.820240021E1,-2.250899887E1,-4.439579773E1,5.299970999E1
1.045180689E0,1.819019890E1,-2.248460007E1,-4.442020035E1,5.300561079E1
1.055180689E0,1.820240021E1,-2.246019936E1,-4.443239975E1,5.300967908E1
1.065180689E0,1.817799950E1,-2.239920044E1,-4.443239975E1,5.297548484E1
1.075180689E0,1.810479927E1,-2.226499939E1,-4.445679855E1,5.291427872E1
1.085180689E0,1.810479927E1,-2.226499939E1,-4.443239975E1,5.289378132E1
1.095180689E0,1.806819916E1,-2.222839928E1,-4.445679855E1,5.288637341E1
1.105180689E0,1.799499893E1,-2.220400047E1,-4.450559998E1,5.289221165E1
1.115180689E0,1.797060013E1,-2.220400047E1,-4.451779938E1,5.289418274E1
1.125180689E0,1.788520050E1,-2.222839928E1,-4.449340057E1,5.285494136E1
1.135180689E0,1.787299919E1,-2.220400047E1,-4.446899796E1,5.282001057E1
