"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.467048333E-1,-8.027648926E0,1.217579651E1,-3.864666748E1,4.130687685E1
6.566798333E-1,-7.849136353E0,1.214435577E1,-3.855535889E1,4.117778549E1
6.666538333E-1,-7.861663818E0,1.203664398E1,-3.867437744E1,4.126007788E1
6.766278333E-1,-7.659271240E0,1.211759949E1,-3.866854858E1,4.124023888E1
6.866018333E-1,-7.512649536E0,1.202582550E1,-3.877404785E1,4.128543531E1
6.965758333E-1,-7.447402954E0,1.204332733E1,-3.877606201E1,4.128060718E1
7.065498333E-1,-7.310607910E0,1.180729675E1,-3.895834351E1,4.135951853E1
7.165238333E-1,-7.110534668E0,1.173136902E1,-3.885809326E1,4.120844737E1
7.264978333E-1,-7.027526855E0,1.170799255E1,-3.890377808E1,4.123065816E1
7.364718333E-1,-6.824188232E0,1.163205719E1,-3.882717896E1,4.110260485E1
7.464468333E-1,-6.898025513E0,1.151493835E1,-3.912850952E1,4.136685652E1
7.564208333E-1,-6.783187866E0,1.137728119E1,-3.908963013E1,4.127291301E1
7.663948333E-1,-6.694503784E0,1.136089325E1,-3.927224731E1,4.142699223E1
7.763688333E-1,-6.549270630E0,1.126070404E1,-3.911947632E1,4.123141798E1
7.863428333E-1,-6.526168823E0,1.127008057E1,-3.938186646E1,4.147935632E1
7.963168333E-1,-6.397399902E0,1.125955200E1,-3.919573975E1,4.127965905E1
8.062908333E-1,-6.271774292E0,1.127902222E1,-3.913943481E1,4.121221727E1
8.162648333E-1,-6.153152466E0,1.133349609E1,-3.915551758E1,4.122455550E1
8.262398333E-1,-6.311767578E0,1.121672058E1,-3.939965820E1,4.144859825E1
8.362138333E-1,-6.135345459E0,1.129039001E1,-3.917703247E1,4.123051350E1
8.461878333E-1,-6.173187256E0,1.123229980E1,-3.916610718E1,4.120991084E1
8.561618333E-1,-6.001419067E0,1.121697998E1,-3.907864380E1,4.109717839E1
8.661358333E-1,-5.952758789E0,1.119974518E1,-3.924081421E1,4.123967906E1
8.761098333E-1,-5.870697021E0,1.114682770E1,-3.914285278E1,4.112030855E1
8.860838333E-1,-5.872283936E0,1.117541504E1,-3.936511230E1,4.133988010E1
8.960578333E-1,-5.675582886E0,1.120503235E1,-3.930294800E1,4.126120105E1
9.060318333E-1,-5.486267090E0,1.137161255E1,-3.914129639E1,4.112728755E1
9.160068333E-1,-5.486724854E0,1.140360260E1,-3.908065796E1,4.107851176E1
9.259808333E-1,-5.356307983E0,1.143515778E1,-3.933331299E1,4.131056014E1
9.359548333E-1,-5.411972046E0,1.149584198E1,-3.922427368E1,4.123090431E1
9.459288333E-1,-5.153701782E0,1.154431915E1,-3.912545776E1,4.111731256E1
9.559025833E-1,-5.196823120E0,1.165245056E1,-3.934695435E1,4.136386576E1
9.658765833E-1,-5.319320679E0,1.156654358E1,-3.926589966E1,4.127821434E1
9.758505833E-1,-5.411651611E0,1.158469391E1,-3.921722412E1,4.124902149E1
9.858245833E-1,-5.460418701E0,1.155687714E1,-3.927273560E1,4.130042788E1
9.957995833E-1,-5.465087891E0,1.145112610E1,-3.921493530E1,4.121658192E1
1.005773583E0,-5.313781738E0,1.144493866E1,-3.913265991E1,4.111676020E1
1.015747583E0,-5.325927734E0,1.164563751E1,-3.895452881E1,4.100538616E1
1.025721583E0,-5.278793335E0,1.154947662E1,-3.937527466E1,4.137231349E1
1.035695583E0,-5.357284546E0,1.145922089E1,-3.948480225E1,4.146159487E1
1.045669583E0,-5.329360962E0,1.150267029E1,-3.929812622E1,4.129232661E1
1.055643583E0,-5.299209595E0,1.156884003E1,-3.941949463E1,4.142241228E1
1.065617583E0,-5.302398682E0,1.154385376E1,-3.941818237E1,4.141460000E1
1.075591583E0,-5.240890503E0,1.167548370E1,-3.962969971E1,4.164489107E1
1.085565583E0,-5.250427246E0,1.171888733E1,-3.936318970E1,4.140483075E1
1.095540583E0,-5.230957031E0,1.173878479E1,-3.911856079E1,4.117552402E1
1.105514583E0,-5.352020264E0,1.160229492E1,-3.914389038E1,4.117646807E1
1.115488583E0,-5.496841431E0,1.160661316E1,-3.911007690E1,4.116463106E1
1.125462583E0,-5.373016357E0,1.174573517E1,-3.908731079E1,4.116612035E1
1.135436583E0,-5.449798584E0,1.172151184E1,-3.904849243E1,4.113245562E1
1.145410583E0,-5.449798584E0,1.172151184E1,-3.904849243E1,4.113245562E1
1.155384583E0,-5.474838257E0,1.170275116E1,-3.917239380E1,4.124808692E1
1.165358583E0,-5.521621704E0,1.156705475E1,-3.901260376E1,4.106419747E1
1.175333583E0,-5.544082642E0,1.154293060E1,-3.891931152E1,4.097180627E1
1.185307583E0,-5.612243652E0,1.142001343E1,-3.885577393E1,4.088624650E1
1.195281583E0,-5.555648804E0,1.143261719E1,-3.900091553E1,4.102001196E1
1.205255583E0,-5.702972412E0,1.133602905E1,-3.891021729E1,4.092718483E1
1.215229583E0,-5.750289917E0,1.130886841E1,-3.891995239E1,4.093554730E1
1.225203583E0,-5.839889526E0,1.120543671E1,-3.893743896E1,4.093641746E1
1.235177583E0,-5.771179199E0,1.107665253E1,-3.886245728E1,4.082020732E1
1.245151583E0,-5.659286499E0,1.109970856E1,-3.901275635E1,4.095395233E1
1.255125583E0,-5.844604492E0,1.103797150E1,-3.910073853E1,4.104709453E1
1.265100583E0,-5.948608398E0,1.088716888E1,-3.890216064E1,4.083251757E1
1.275074583E0,-5.970321655E0,1.063647461E1,-3.887725830E1,4.074580403E1
1.285048583E0,-5.936279297E0,1.055509949E1,-3.877426147E1,4.062133540E1
1.295022583E0,-6.044204712E0,1.073317719E1,-3.902352905E1,4.092150196E1
1.304996583E0,-6.185867310E0,1.059540558E1,-3.897500610E1,4.086047815E1
1.314970583E0,-6.212310791E0,1.037071991E1,-3.889236450E1,4.072788545E1
1.324944583E0,-6.226257324E0,1.036740112E1,-3.892208862E1,4.075755475E1
1.334918583E0,-6.313079834E0,1.020131683E1,-3.891989136E1,4.072689266E1
1.344892583E0,-6.439788818E0,1.007715607E1,-3.894055176E1,4.073556831E1
1.354867583E0,-6.428680420E0,9.848915100E0,-3.890405273E1,4.064301145E1
1.364841583E0,-6.531402588E0,9.876983643E0,-3.873800659E1,4.050737193E1
1.374815583E0,-6.633758545E0,9.808502197E0,-3.882025146E1,4.058602458E1
1.384789583E0,-6.725601196E0,9.655174255E0,-3.884469604E1,4.058776308E1
1.394763583E0,-6.688720703E0,9.557662964E0,-3.881781006E1,4.053282970E1
1.404737583E0,-6.726470947E0,9.412345886E0,-3.888085938E1,4.056548893E1
1.414711583E0,-6.809692383E0,9.297698975E0,-3.854061890E1,4.022683708E1
1.424685583E0,-6.909622192E0,9.229133606E0,-3.887365723E1,4.054726886E1
1.434659583E0,-6.918533325E0,9.108291626E0,-3.874642944E1,4.039941676E1
1.444634583E0,-6.789138794E0,9.074546814E0,-3.880645752E1,4.042747767E1
1.454608583E0,-7.129882812E0,8.768257141E0,-3.902752686E1,4.063084314E1
1.464582583E0,-7.127288818E0,8.663841248E0,-3.898669434E1,4.056874075E1
1.474556583E0,-7.124588013E0,8.483383179E0,-3.884252930E1,4.039145487E1
1.484530583E0,-7.357772827E0,8.368751526E0,-3.903524780E1,4.059462272E1
1.494504583E0,-7.611541748E0,8.226310730E0,-3.891479492E1,4.049653096E1
1.504478583E0,-7.696624756E0,8.181526184E0,-3.890322876E1,4.049242659E1
1.514452583E0,-8.023635864E0,8.139389038E0,-3.894827271E1,4.059059415E1
1.524426583E0,-7.893325806E0,7.957015991E0,-3.867623901E1,4.026748266E1
1.534401583E0,-8.101776123E0,8.054542542E0,-3.838809204E1,4.005196677E1
1.544375583E0,-8.228866577E0,7.781776428E0,-3.834887695E1,3.998633083E1
1.554349583E0,-8.263290405E0,7.816558838E0,-3.843267822E1,4.008056032E1
1.564323583E0,-8.302230835E0,7.778236389E0,-3.840231323E1,4.005203690E1
1.574297583E0,-8.290557861E0,7.702964783E0,-3.835510254E1,3.998978503E1
1.584271583E0,-8.400848389E0,7.610534668E0,-3.852120972E1,4.015442802E1
1.594245583E0,-8.274032593E0,7.469367981E0,-3.852856445E1,4.010861943E1
1.604219583E0,-8.253738403E0,7.432060242E0,-3.861389160E1,4.017950151E1
1.614193583E0,-8.241287231E0,7.497451782E0,-3.863796997E1,4.021222851E1
1.624168583E0,-8.215194702E0,7.439704895E0,-3.887695312E1,4.042593372E1
1.634142583E0,-8.188064575E0,7.471519470E0,-3.875100708E1,4.030519265E1
1.644116583E0,-8.181259155E0,7.363609314E0,-3.857168579E1,4.011147826E1
1.654090583E0,-8.309616089E0,7.294334412E0,-3.854840088E1,4.010282090E1
1.664064583E0,-8.397155762E0,7.173400879E0,-3.861102295E1,4.015944470E1
1.674038583E0,-8.588958740E0,7.040542603E0,-3.839459229E1,3.996853974E1
1.684012583E0,-8.586441040E0,6.938743591E0,-3.862759399E1,4.017417268E1
1.693986583E0,-8.610519409E0,7.012641907E0,-3.859777832E1,4.016349938E1
1.703960583E0,-8.586929321E0,6.989349365E0,-3.845916748E1,4.002116844E1
1.713935583E0,-8.587753296E0,6.999290466E0,-3.830224609E1,3.987231658E1
1.723909583E0,-8.668502808E0,6.876609802E0,-3.841888428E1,3.998051241E1
1.733883583E0,-8.668502808E0,6.876609802E0,-3.841888428E1,3.998051241E1
1.743857583E0,-8.590713501E0,6.952613831E0,-3.863638306E1,4.018593402E1
1.753831583E0,-8.667739868E0,6.863983154E0,-3.846740723E1,4.002480978E1
1.763805583E0,-8.611679077E0,6.919052124E0,-3.846365356E1,4.001858249E1
1.773779583E0,-8.643478394E0,6.782592773E0,-3.845861816E1,3.999723234E1
1.783753583E0,-8.568405151E0,6.841682434E0,-3.855493164E1,4.008377401E1
1.793727583E0,-8.575393677E0,6.853096008E0,-3.856332397E1,4.009528972E1
1.803702583E0,-8.474685669E0,6.904769897E0,-3.885363770E1,4.036212713E1
1.813676583E0,-8.431747437E0,6.942962646E0,-3.886007690E1,4.036588500E1
1.823650583E0,-8.429107666E0,7.048507690E0,-3.866827393E1,4.019908861E1
1.833624583E0,-8.460311890E0,7.034118652E0,-3.861334229E1,4.015029147E1
1.843598583E0,-8.484512329E0,7.097030640E0,-3.853970337E1,4.009567968E1
1.853572583E0,-8.439743042E0,7.112442017E0,-3.871405029E1,4.025659926E1
1.863546583E0,-8.443298340E0,7.153167725E0,-3.869781494E1,4.024895001E1
1.873520583E0,-8.583419800E0,7.104125977E0,-3.860409546E1,4.017984429E1
1.883494583E0,-8.698150635E0,7.055404663E0,-3.854156494E1,4.013587906E1
1.893469583E0,-8.770599365E0,7.023681641E0,-3.840176392E1,4.001188560E1
1.903443583E0,-8.707992554E0,6.983688354E0,-3.838967896E1,3.997960089E1
1.913417583E0,-8.820938110E0,7.045310974E0,-3.844052124E1,4.006393676E1
1.923391583E0,-8.839645386E0,7.001754761E0,-3.838348389E1,4.000569629E1
1.933365583E0,-8.914459229E0,6.952758789E0,-3.831661987E1,3.994961573E1
1.943339583E0,-8.832977295E0,6.998756409E0,-3.830752563E1,3.993082267E1
1.953313542E0,-8.796478271E0,6.877548218E0,-3.852822876E1,4.011362750E1
1.963287542E0,-8.812973022E0,6.855003357E0,-3.842385864E1,4.001315381E1
1.973261542E0,-8.830886841E0,6.933174133E0,-3.838186646E1,3.999026305E1
1.983235542E0,-8.690216064E0,6.879882812E0,-3.832553101E1,3.989610219E1
1.993210542E0,-8.633956909E0,6.801773071E0,-3.839819336E1,3.994033778E1
2.003184542E0,-8.515075684E0,6.787193298E0,-3.852990723E1,4.003905915E1
2.013158542E0,-8.422180176E0,6.696823120E0,-3.850439453E1,3.997960676E1
2.023132542E0,-8.297775269E0,6.631835938E0,-3.842263794E1,3.986393644E1
2.033106542E0,-8.211746216E0,6.528251648E0,-3.838952637E1,3.979706748E1
2.043080542E0,-8.108322144E0,6.422859192E0,-3.864117432E1,4.000172947E1
2.053054542E0,-7.979080200E0,6.414505005E0,-3.857128906E1,3.990684071E1
2.063028542E0,-7.960372925E0,6.277954102E0,-3.842700195E1,3.974185104E1
2.073002542E0,-7.880630493E0,6.191589355E0,-3.850979614E1,3.979251833E1
2.082977542E0,-7.726409912E0,6.098220825E0,-3.830288696E1,3.954740013E1
2.092951542E0,-7.627136230E0,6.203590393E0,-3.837585449E1,3.961519846E1
2.102925542E0,-7.626937866E0,6.037467957E0,-3.851473999E1,3.972412865E1
2.112899542E0,-7.549270630E0,6.080039978E0,-3.832592773E1,3.953270937E1
2.122873542E0,-7.461181641E0,5.913078308E0,-3.858032227E1,3.973757658E1
2.132847542E0,-7.281326294E0,5.964874268E0,-3.872311401E1,3.985068377E1
2.142821542E0,-7.275558472E0,5.897552490E0,-3.879986572E1,3.991421372E1
2.152795542E0,-7.206954956E0,5.909126282E0,-3.855761719E1,3.966796965E1
2.162769542E0,-6.985473633E0,5.796287537E0,-3.849462891E1,3.955035077E1
2.172744542E0,-6.819183350E0,5.836647034E0,-3.827319336E1,3.931164001E1
2.182718542E0,-6.777465820E0,5.826866150E0,-3.863491821E1,3.965530630E1
2.192692542E0,-6.827194214E0,5.926406860E0,-3.842736816E1,3.947651838E1
2.202666542E0,-6.744750977E0,5.987686157E0,-3.837478638E1,3.942040437E1
2.212640542E0,-6.780746460E0,6.125068665E0,-3.846731567E1,3.953769548E1
2.222614542E0,-6.914520264E0,6.141090393E0,-3.852114868E1,3.961568474E1
2.232588542E0,-7.108245850E0,6.152603149E0,-3.843218994E1,3.956532457E1
