"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.472113020E-1,1.589659977E1,-2.130119896E1,-4.490819931E1,5.218418656E1
6.572113020E-1,1.584779930E1,-2.131340027E1,-4.487159729E1,5.214282326E1
6.672113020E-1,1.576239967E1,-2.136219978E1,-4.488380051E1,5.214741001E1
6.772113020E-1,1.575019932E1,-2.137439919E1,-4.489599991E1,5.215922284E1
6.872113020E-1,1.575019932E1,-2.142319870E1,-4.484719849E1,5.213725571E1
6.972113020E-1,1.571360016E1,-2.144759941E1,-4.485939789E1,5.214673843E1
7.072113020E-1,1.570139980E1,-2.149639893E1,-4.483499908E1,5.214217358E1
7.172113020E-1,1.564039993E1,-2.156959915E1,-4.477399826E1,5.210163757E1
7.272113020E-1,1.555499935E1,-2.167939949E1,-4.476179886E1,5.211116007E1
7.372113020E-1,1.551839924E1,-2.181359863E1,-4.468859863E1,5.209342231E1
7.472113020E-1,1.550619984E1,-2.193560028E1,-4.466419983E1,5.212008768E1
7.572113020E-1,1.549399948E1,-2.204539871E1,-4.456660080E1,5.207922360E1
7.672113020E-1,1.544519997E1,-2.213080025E1,-4.456660080E1,5.210094460E1
7.772113020E-1,1.543299961E1,-2.219179916E1,-4.451779938E1,5.208155037E1
7.872113020E-1,1.542079926E1,-2.220400047E1,-4.452999878E1,5.209356465E1
7.972113020E-1,1.543299961E1,-2.222839928E1,-4.449340057E1,5.207630849E1
8.072113020E-1,1.549399948E1,-2.222839928E1,-4.448119736E1,5.208399632E1
8.172113020E-1,1.546959972E1,-2.221619987E1,-4.450559998E1,5.209238410E1
8.272113020E-1,1.546959972E1,-2.213080025E1,-4.446899796E1,5.202473080E1
8.372113020E-1,1.543299961E1,-2.209420013E1,-4.450559998E1,5.202960298E1
8.472113020E-1,1.539639950E1,-2.206979942E1,-4.445679855E1,5.196664413E1
8.572113020E-1,1.538420010E1,-2.208199883E1,-4.446899796E1,5.197865008E1
8.672113020E-1,1.532319927E1,-2.216740036E1,-4.444459915E1,5.197611440E1
8.772113020E-1,1.528660011E1,-2.220400047E1,-4.444459915E1,5.198095972E1
8.872113020E-1,1.522559929E1,-2.222839928E1,-4.448119736E1,5.200478369E1
8.972113020E-1,1.523779964E1,-2.225279999E1,-4.451779938E1,5.205009228E1
9.072113020E-1,1.521339989E1,-2.224059868E1,-4.457880020E1,5.208993370E1
9.172113020E-1,1.521339989E1,-2.224059868E1,-4.459099960E1,5.210037439E1
9.272113020E-1,1.529879951E1,-2.222839928E1,-4.457880020E1,5.210973449E1
9.372113020E-1,1.531099987E1,-2.222839928E1,-4.460319901E1,5.213419044E1
9.472113020E-1,1.535979939E1,-2.224059868E1,-4.457880020E1,5.213287920E1
9.572113020E-1,1.537199974E1,-2.226499939E1,-4.457880020E1,5.214688870E1
9.672113020E-1,1.544519997E1,-2.226499939E1,-4.450559998E1,5.210597690E1
9.772113020E-1,1.545739937E1,-2.231379890E1,-4.440800095E1,5.204716481E1
9.872113020E-1,1.551839924E1,-2.236260033E1,-4.431039810E1,5.200305749E1
9.972113020E-1,1.553059959E1,-2.242359924E1,-4.432259750E1,5.204334709E1
1.007211302E0,1.554279995E1,-2.248460007E1,-4.433480072E1,5.208368675E1
1.017211302E0,1.550619984E1,-2.253339958E1,-4.423719788E1,5.201082585E1
1.027211302E0,1.544519997E1,-2.248460007E1,-4.422499847E1,5.196115792E1
1.037211302E0,1.542079926E1,-2.248460007E1,-4.424939728E1,5.197468085E1
1.047211302E0,1.537199974E1,-2.248460007E1,-4.424939728E1,5.196022301E1
1.057211302E0,1.532319927E1,-2.243579865E1,-4.427379990E1,5.194549888E1
1.067211302E0,1.527439976E1,-2.243579865E1,-4.429819870E1,5.195192736E1
1.077211302E0,1.527439976E1,-2.237479973E1,-4.426160049E1,5.189439497E1
1.087211302E0,1.523779964E1,-2.236260033E1,-4.424939728E1,5.186796305E1
1.097211302E0,1.525000000E1,-2.235039902E1,-4.428599930E1,5.189751988E1
1.107211302E0,1.528660011E1,-2.241139984E1,-4.431039810E1,5.195538823E1
1.117211302E0,1.532319927E1,-2.246019936E1,-4.428599930E1,5.196643845E1
1.127211302E0,1.534759998E1,-2.250899887E1,-4.432259750E1,5.202592147E1
1.137211302E0,1.539639950E1,-2.261879921E1,-4.427379990E1,5.204640768E1
1.147211302E0,1.545739937E1,-2.275300026E1,-4.420059967E1,5.206076476E1
1.157211302E0,1.545739937E1,-2.287500000E1,-4.415179825E1,5.207281545E1
1.167211302E0,1.543299961E1,-2.294820023E1,-4.411520004E1,5.206676719E1
1.177211302E0,1.545739937E1,-2.302140045E1,-4.409079742E1,5.208564573E1
1.187211302E0,1.546959972E1,-2.308239937E1,-4.401760101E1,5.205434540E1
1.197211302E0,1.543299961E1,-2.310680008E1,-4.389559937E1,5.195118219E1
1.207211302E0,1.537199974E1,-2.319219971E1,-4.382239914E1,5.190933605E1
1.217211302E0,1.532319927E1,-2.324099922E1,-4.377359772E1,5.187554663E1
1.227211302E0,1.525000000E1,-2.322879982E1,-4.372480011E1,5.180731402E1
1.237211302E0,1.520119953E1,-2.320439911E1,-4.376139832E1,5.181293842E1
1.247211302E0,1.521339989E1,-2.324099922E1,-4.372480011E1,5.180202434E1
1.257211302E0,1.518900013E1,-2.321660042E1,-4.365159988E1,5.172212711E1
1.267211302E0,1.517679977E1,-2.321660042E1,-4.362719727E1,5.169795090E1
1.277211302E0,1.518900013E1,-2.319219971E1,-4.363940048E1,5.170088129E1
1.287211302E0,1.523779964E1,-2.318000031E1,-4.357839966E1,5.165829913E1
1.297211302E0,1.533539963E1,-2.311899948E1,-4.362719727E1,5.170101508E1
1.307211302E0,1.539639950E1,-2.315559959E1,-4.366379929E1,5.176638174E1
1.317211302E0,1.549399948E1,-2.322879982E1,-4.357839966E1,5.175633370E1
1.327211302E0,1.553059959E1,-2.328979874E1,-4.352959824E1,5.175364887E1
1.337211302E0,1.562819958E1,-2.338739967E1,-4.357839966E1,5.186798629E1
1.347211302E0,1.572579956E1,-2.346059990E1,-4.355400085E1,5.191003284E1
1.357211302E0,1.581120014E1,-2.360700035E1,-4.346859741E1,5.193075656E1
1.367211302E0,1.589659977E1,-2.366799927E1,-4.348080063E1,5.199476990E1
1.377211302E0,1.588439941E1,-2.375339890E1,-4.339540100E1,5.195862712E1
1.387211302E0,1.594539928E1,-2.382659912E1,-4.335879898E1,5.198026580E1
1.397211302E0,1.595759964E1,-2.387539864E1,-4.328559875E1,5.194538195E1
1.407211302E0,1.603079987E1,-2.389979935E1,-4.329779816E1,5.198929004E1
1.417211302E0,1.601860046E1,-2.391199875E1,-4.321239853E1,5.192004075E1
1.427211302E0,1.600639915E1,-2.392420006E1,-4.309040070E1,5.182040905E1
1.437211302E0,1.600639915E1,-2.386319923E1,-4.312699890E1,5.182272789E1
1.447211302E0,1.599419975E1,-2.378999901E1,-4.310260010E1,5.176497478E1
1.457211302E0,1.601860046E1,-2.370459938E1,-4.311479950E1,5.174349745E1
1.467211302E0,1.595759964E1,-2.363139915E1,-4.307819748E1,5.166061469E1
1.477211302E0,1.598199940E1,-2.355819893E1,-4.315139771E1,5.169580414E1
1.487211302E0,1.599419975E1,-2.348499870E1,-4.312699890E1,5.164588681E1
1.497211302E0,1.598199940E1,-2.342399979E1,-4.311479950E1,5.160420532E1
1.507211302E0,1.598199940E1,-2.343619919E1,-4.318799973E1,5.167091113E1
1.517211302E0,1.598199940E1,-2.341180038E1,-4.311479950E1,5.159866895E1
1.527211302E0,1.598199940E1,-2.344840050E1,-4.313919830E1,5.163566811E1
1.537211302E0,1.605520058E1,-2.347279930E1,-4.309040070E1,5.162871686E1
1.547211302E0,1.614060020E1,-2.350939941E1,-4.310260010E1,5.168215331E1
1.557211302E0,1.609179878E1,-2.352159882E1,-4.304159927E1,5.162161240E1
1.567211302E0,1.606739998E1,-2.355819893E1,-4.302939987E1,5.162053208E1
1.577211302E0,1.610400009E1,-2.355819893E1,-4.300500107E1,5.161160405E1
1.587211302E0,1.611619949E1,-2.352159882E1,-4.290739822E1,5.151739822E1
1.597211302E0,1.614060020E1,-2.350939941E1,-4.295619965E1,5.156011951E1
1.607211302E0,1.614060020E1,-2.347279930E1,-4.287080002E1,5.147229134E1
1.617211302E0,1.609179878E1,-2.352159882E1,-4.285860062E1,5.146912906E1
1.627211302E0,1.609179878E1,-2.350939941E1,-4.280979919E1,5.142292053E1
1.637211302E0,1.611619949E1,-2.353380013E1,-4.279759979E1,5.143156796E1
1.647211302E0,1.610400009E1,-2.349720001E1,-4.274879837E1,5.137039020E1
1.657211302E0,1.607959938E1,-2.359479904E1,-4.270000076E1,5.136689715E1
1.667211302E0,1.609179878E1,-2.361919975E1,-4.274879837E1,5.142248873E1
1.677211302E0,1.609179878E1,-2.366799927E1,-4.270000076E1,5.140437960E1
1.687211302E0,1.609179878E1,-2.366799927E1,-4.268779755E1,5.139424323E1
1.697211302E0,1.610400009E1,-2.364360046E1,-4.270000076E1,5.139697196E1
1.707211302E0,1.606739998E1,-2.368019867E1,-4.270000076E1,5.140236586E1
1.717211302E0,1.606739998E1,-2.369239998E1,-4.267559814E1,5.138772067E1
1.727211302E0,1.607959938E1,-2.375339890E1,-4.271220016E1,5.145006820E1
1.737211302E0,1.611619949E1,-2.365579987E1,-4.276099777E1,5.145708585E1
1.747211302E0,1.611619949E1,-2.361919975E1,-4.272439957E1,5.140985121E1
1.757211302E0,1.612839890E1,-2.360700035E1,-4.273659897E1,5.141821280E1
1.767211302E0,1.611619949E1,-2.361919975E1,-4.267559814E1,5.136930173E1
1.777211302E0,1.612839890E1,-2.360700035E1,-4.263899994E1,5.133712139E1
1.787211302E0,1.615279961E1,-2.349720001E1,-4.260239792E1,5.126398006E1
1.797211302E0,1.622599983E1,-2.343619919E1,-4.259019852E1,5.124903426E1
1.807211302E0,1.626259995E1,-2.336299896E1,-4.257799911E1,5.121706636E1
1.817211302E0,1.631139946E1,-2.336299896E1,-4.251699829E1,5.118189735E1
1.827211302E0,1.637240028E1,-2.332639885E1,-4.254140091E1,5.120495255E1
1.837211302E0,1.644560051E1,-2.330200005E1,-4.248040009E1,5.116664317E1
1.847211302E0,1.653100014E1,-2.326539993E1,-4.252919769E1,5.121801886E1
1.857211302E0,1.656760025E1,-2.319219971E1,-4.251699829E1,5.118650847E1
1.867211302E0,1.666519928E1,-2.316779900E1,-4.252919769E1,5.121726695E1
1.877211302E0,1.667740059E1,-2.314340019E1,-4.255360031E1,5.123047494E1
1.887211302E0,1.670179939E1,-2.310680008E1,-4.255360031E1,5.122190169E1
1.897211302E0,1.667740059E1,-2.303359985E1,-4.260239792E1,5.122154548E1
1.907211302E0,1.666519928E1,-2.296039963E1,-4.261459732E1,5.119485055E1
1.917211302E0,1.660420036E1,-2.286279869E1,-4.267559814E1,5.118216204E1
1.927211302E0,1.665299988E1,-2.277739906E1,-4.268779755E1,5.117011210E1
1.937211302E0,1.668959999E1,-2.274079895E1,-4.276099777E1,5.122684467E1
1.947211302E0,1.666519928E1,-2.269199944E1,-4.280979919E1,5.123801921E1
1.957211302E0,1.670179939E1,-2.259440041E1,-4.280979919E1,5.120679584E1
1.967211302E0,1.673839951E1,-2.252120018E1,-4.276099777E1,5.114568805E1
1.977211302E0,1.677499962E1,-2.246019936E1,-4.271220016E1,5.109005001E1
1.987211302E0,1.677499962E1,-2.242359924E1,-4.271220016E1,5.107397046E1
1.997211302E0,1.681159973E1,-2.239920044E1,-4.267559814E1,5.104469358E1
2.007211302E0,1.678719902E1,-2.236260033E1,-4.267559814E1,5.102060977E1
2.017211302E0,1.673839951E1,-2.233819962E1,-4.259019852E1,5.092243307E1
2.027211302E0,1.676280022E1,-2.235039902E1,-4.254140091E1,5.089501546E1
2.037211302E0,1.672620010E1,-2.237479973E1,-4.254140091E1,5.089369533E1
2.047211302E0,1.671399879E1,-2.237479973E1,-4.257799911E1,5.092028503E1
2.057211302E0,1.667740059E1,-2.242359924E1,-4.257799911E1,5.092975066E1
2.067211302E0,1.672620010E1,-2.241139984E1,-4.256579971E1,5.093018671E1
2.077211302E0,1.675059891E1,-2.236260033E1,-4.255360031E1,5.090655514E1
2.087211302E0,1.673839951E1,-2.238699913E1,-4.254140091E1,5.090307004E1
2.097211302E0,1.675059891E1,-2.236260033E1,-4.259019852E1,5.093715213E1
2.107211302E0,1.675059891E1,-2.237479973E1,-4.255360031E1,5.091191536E1
2.117211302E0,1.677499962E1,-2.239920044E1,-4.248040009E1,5.086953100E1
2.127211302E0,1.678719902E1,-2.244799995E1,-4.243159866E1,5.085433431E1
2.137211302E0,1.679940033E1,-2.247239876E1,-4.241939926E1,5.085896176E1
2.147211302E0,1.683600044E1,-2.253339958E1,-4.234619904E1,5.083704929E1
2.157211302E0,1.679940033E1,-2.261879921E1,-4.230960083E1,5.083239372E1
2.167211302E0,1.683600044E1,-2.267980003E1,-4.223640060E1,5.081080374E1
2.177211302E0,1.686039925E1,-2.274079895E1,-4.213879776E1,5.076509900E1
2.187211302E0,1.682379913E1,-2.275300026E1,-4.211439896E1,5.073816943E1
2.197211302E0,1.676280022E1,-2.277739906E1,-4.209000015E1,5.070867275E1
2.207211302E0,1.676280022E1,-2.278960037E1,-4.201679993E1,5.065341876E1
2.217211302E0,1.675059891E1,-2.281399918E1,-4.201679993E1,5.066036516E1
