"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.419451250E-1,6.586135864E0,-2.510066986E1,-3.627587891E1,4.460224438E1
7.519191250E-1,6.547744751E0,-2.528392029E1,-3.641275024E1,4.481113664E1
7.618941250E-1,6.496643066E0,-2.536350250E1,-3.611407471E1,4.460650202E1
7.718681250E-1,6.548828125E0,-2.541043091E1,-3.603594971E1,4.457764933E1
7.818421250E-1,6.433395386E0,-2.545156860E1,-3.591537476E1,4.448690891E1
7.918171250E-1,6.313369751E0,-2.545172882E1,-3.597433472E1,4.451743362E1
8.017911250E-1,6.360824585E0,-2.553722382E1,-3.593658447E1,4.454265364E1
8.117651250E-1,6.352447510E0,-2.560354614E1,-3.610421753E1,4.471475917E1
8.217391250E-1,6.293731689E0,-2.578803253E1,-3.569338989E1,4.448203865E1
8.317141250E-1,6.293731689E0,-2.578803253E1,-3.569338989E1,4.448203865E1
8.416881250E-1,6.153121948E0,-2.586106110E1,-3.582015991E1,4.460649333E1
8.516621250E-1,6.107543945E0,-2.594725037E1,-3.574041748E1,4.458631333E1
8.616371250E-1,5.916671753E0,-2.607888031E1,-3.576922607E1,4.466041353E1
8.716111250E-1,5.846450806E0,-2.623674774E1,-3.558572388E1,4.459699164E1
8.815851250E-1,5.793182373E0,-2.612649536E1,-3.565808105E1,4.458310741E1
8.915601250E-1,5.663619995E0,-2.606002045E1,-3.555279541E1,4.444325054E1
9.015341250E-1,5.612487793E0,-2.597187042E1,-3.584719849E1,4.462129213E1
9.115081250E-1,5.757522583E0,-2.591019440E1,-3.583200073E1,4.459169784E1
9.214831250E-1,5.870529175E0,-2.580954742E1,-3.579806519E1,4.452075159E1
9.314571250E-1,5.926544189E0,-2.580554199E1,-3.574664307E1,4.448451881E1
9.414311250E-1,5.984741211E0,-2.577634430E1,-3.599114990E1,4.467213812E1
9.514051250E-1,5.912216187E0,-2.570186615E1,-3.592813110E1,4.456872029E1
9.613801250E-1,5.894317627E0,-2.568569946E1,-3.622244263E1,4.479468146E1
