"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.605584900E-2,2.160767019E-1,1.456273198E0,1.044949341E1
1.805387000E-2,1.442506462E-1,1.676539779E0,1.047343540E1
2.005178700E-2,1.538274586E-1,1.892017841E0,1.032978344E1
2.204970400E-2,1.538274586E-1,2.040458441E0,1.004247856E1
2.404762000E-2,1.586158574E-1,2.236783028E0,1.004247856E1
2.604553700E-2,1.681926697E-1,2.361281395E0,1.025795746E1
2.804345400E-2,1.729810685E-1,2.399588585E0,1.012867069E1
3.004137000E-2,1.681926697E-1,2.514510393E0,9.798270226E0
3.203928700E-2,1.634042710E-1,2.476203203E0,9.578003883E0
3.403720400E-2,1.011550203E-1,2.490568399E0,9.300276756E0
3.603517200E-2,-8.559270948E-2,3.113060713E0,8.984241486E0
3.803319300E-2,-1.765723825E-1,3.453037500E0,8.888473511E0
4.003121400E-2,-1.765723825E-1,3.898358822E0,8.586804390E0
4.202923500E-2,-2.148796022E-1,4.358045578E0,8.749609947E0
4.402725600E-2,-1.430535465E-1,4.386775970E0,8.902838707E0
4.602527600E-2,-8.978256024E-3,4.042010784E0,9.060855865E0
4.802329700E-2,1.203086376E-1,3.721188068E0,9.415198326E0
5.002131800E-2,2.735375464E-1,3.409941673E0,9.630676270E0
5.201933900E-2,3.070563674E-1,3.084330320E0,9.558850288E0
5.401736000E-2,4.219780564E-1,2.888005733E0,9.496601105E0
5.601538100E-2,4.507084787E-1,2.648585558E0,9.391256332E0
5.801340100E-2,5.177460909E-1,2.433107376E0,9.525331497E0
6.001142200E-2,4.938040972E-1,2.294243813E0,9.625887871E0
6.200944300E-2,3.740940094E-1,1.939901948E0,9.803058624E0
6.400730800E-2,3.501519859E-1,1.911171556E0,9.927556992E0
6.600517200E-2,3.166331649E-1,1.858499050E0,9.989806175E0
6.800303700E-2,3.405751884E-1,1.824980259E0,1.013345909E1
7.000090100E-2,2.831143439E-1,1.772307754E0,1.015261269E1
7.199876600E-2,1.681926697E-1,1.623867273E0,1.002332497E1
7.399663100E-2,1.155202314E-1,1.724423766E0,1.013345909E1
7.599449500E-2,-2.334346622E-2,1.705270171E0,1.025795746E1
7.799236000E-2,-8.559270948E-2,1.619078875E0,1.009036350E1
7.999027600E-2,-1.622071713E-1,1.676539779E0,1.011430550E1
8.198819300E-2,-2.388216257E-1,1.729212165E0,1.001374817E1
8.398616200E-2,-3.393780887E-1,1.868075848E0,9.812635422E0
8.598418300E-2,-3.106476665E-1,1.872864246E0,9.831789017E0
8.798225600E-2,-3.250128925E-1,1.829768658E0,9.951498985E0
8.998038100E-2,-3.968389332E-1,1.810615063E0,9.841365814E0
9.197850600E-2,-3.968389332E-1,1.877652645E0,9.645041466E0
9.397663100E-2,-3.585317135E-1,1.858499050E0,9.410409927E0
9.597475600E-2,-2.771288455E-1,1.801038265E0,9.376891136E0
9.797288100E-2,-2.819172442E-1,1.743577361E0,9.391256332E0
9.997100600E-2,-1.669955701E-1,1.853710651E0,9.214085579E0
1.019689220E-1,-1.765723825E-1,1.695693374E0,9.228450775E0
1.039668390E-1,-1.047463268E-1,1.695693374E0,9.127894402E0
1.059647560E-1,-1.376665942E-2,1.671751380E0,9.228450775E0
1.079626720E-1,-4.249707982E-2,1.676539779E0,9.151836395E0
1.099605890E-1,-4.189853091E-3,1.566406488E0,9.391256332E0
1.119585060E-1,5.985504249E-4,1.561618090E0,9.324218750E0
1.139564220E-1,5.985504249E-4,1.508945584E0,9.194931984E0
1.159540790E-1,-3.770867735E-2,1.446696401E0,9.156624794E0
1.179516830E-1,-5.686229095E-2,1.365293503E0,9.448717117E0
1.199492870E-1,-8.080431074E-2,1.322197914E0,9.453505516E0
1.219468910E-1,-6.165069342E-2,1.250371814E0,9.630676270E0
1.239444950E-1,-6.643909961E-2,1.183334231E0,9.740809441E0
1.259420990E-1,-7.122749835E-2,1.106719732E0,9.716867447E0
1.279397040E-1,-8.978256024E-3,1.068412542E0,9.817423820E0
1.299373600E-1,2.932897024E-2,1.068412542E0,9.759963036E0
1.319350680E-1,7.721300423E-2,1.054047346E0,9.817423820E0
1.339328290E-1,1.155202314E-1,1.006163239E0,9.645041466E0
1.359306410E-1,1.155202314E-1,1.054047346E0,9.750386238E0
1.379285060E-1,1.155202314E-1,1.188122630E0,9.683348656E0
1.399264220E-1,1.298854351E-1,1.226429820E0,9.429563522E0
1.419243390E-1,1.442506462E-1,1.307832718E0,9.400833130E0
1.439223080E-1,1.442506462E-1,1.350928307E0,9.520543098E0
1.459203290E-1,7.242459804E-2,1.417966008E0,9.534908295E0
1.479183490E-1,7.721300423E-2,1.523310781E0,9.453505516E0
1.499163700E-1,7.242459804E-2,1.571194887E0,9.381679535E0
1.519143910E-1,1.250970364E-1,1.599925280E0,9.467870712E0
1.539124120E-1,-4.189853091E-3,1.619078875E0,9.376891136E0
1.559104330E-1,5.985504249E-4,1.633444071E0,9.314641953E0
1.579084540E-1,5.386953708E-3,1.657386184E0,9.396044731E0
1.599063180E-1,2.454056777E-2,1.710058570E0,9.233239174E0
1.619039740E-1,1.975216344E-2,1.676539779E0,9.027337074E0
1.639016310E-1,6.284779310E-2,1.633444071E0,9.467870712E0
1.658992870E-1,5.985504249E-4,1.643020868E0,9.587580681E0
1.678969430E-1,2.932897024E-2,1.666962981E0,9.750386238E0
1.698945990E-1,5.985504249E-4,1.796249866E0,9.592369080E0
1.718922560E-1,-5.686229095E-2,1.753154159E0,9.678560257E0
1.738899120E-1,-9.995792061E-2,1.853710651E0,9.678560257E0
1.758875680E-1,-9.038111567E-2,1.868075848E0,9.664195061E0
1.778852760E-1,-6.643909961E-2,1.882441044E0,9.592369080E0
1.798830370E-1,-1.669955701E-1,1.911171556E0,9.635464668E0
1.818808490E-1,-1.813607812E-1,1.882441044E0,9.630676270E0
1.838787140E-1,-2.531868219E-1,1.824980259E0,9.745597839E0
1.858766310E-1,-2.531868219E-1,1.868075848E0,9.549273491E0
1.878745990E-1,-2.196680009E-1,1.834557056E0,9.707290649E0
1.898726200E-1,-2.196680009E-1,1.834557056E0,9.616311073E0
1.918706410E-1,-2.579752207E-1,1.892017841E0,9.429563522E0
1.938686620E-1,-2.244564146E-1,1.868075848E0,9.534908295E0
1.958666830E-1,-2.675520480E-1,1.858499050E0,9.472659111E0
