"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.206850500E-2,-9.125599861E0,-1.522559929E1,-4.704319763E1
5.206850500E-2,-9.125599861E0,-1.566479969E1,-4.701879883E1
6.206850500E-2,-9.223199844E0,-1.557940006E1,-4.705540085E1
7.206850500E-2,-9.247599602E0,-1.562819958E1,-4.704319763E1
8.206850500E-2,-9.247599602E0,-1.570139980E1,-4.700659943E1
9.206850500E-2,-9.284199715E0,-1.573799992E1,-4.705540085E1
1.020685050E-1,-9.296400070E0,-1.570139980E1,-4.710419846E1
1.072848070E-1,-9.345199585E0,-1.570139980E1,-4.714080048E1
1.120685050E-1,-9.418399811E0,-1.575019932E1,-4.718959808E1
1.220685050E-1,-9.454999924E0,-1.570139980E1,-4.727499771E1
1.320685050E-1,-9.479399681E0,-1.561599922E1,-4.731159973E1
1.420685050E-1,-9.528200150E0,-1.545739937E1,-4.739699936E1
1.520685050E-1,-9.564800262E0,-1.526219940E1,-4.745800018E1
1.620685050E-1,-9.576999664E0,-1.510359955E1,-4.754339981E1
1.720685050E-1,-9.650199890E0,-1.495720005E1,-4.759219742E1
1.820685050E-1,-9.674599648E0,-1.479859924E1,-4.760440063E1
1.920685050E-1,-9.637999535E0,-1.466440010E1,-4.760440063E1
2.020685050E-1,-9.711199760E0,-1.453020000E1,-4.770199966E1
2.120685050E-1,-9.772199631E0,-1.453020000E1,-4.775079727E1
2.220685050E-1,-9.821000099E0,-1.444479942E1,-4.777519989E1
2.320685050E-1,-9.906399727E0,-1.433500004E1,-4.786059952E1
2.420685050E-1,-9.955200195E0,-1.420079994E1,-4.787279892E1
2.520685050E-1,-9.967399597E0,-1.411539936E1,-4.788499832E1
2.620685050E-1,-1.004059982E1,-1.400559998E1,-4.799480057E1
2.720685050E-1,-1.013819981E1,-1.385919952E1,-4.812899780E1
2.820685050E-1,-1.016259956E1,-1.367619991E1,-4.815340042E1
2.920685050E-1,-1.017479992E1,-1.357859993E1,-4.822660065E1
3.020685050E-1,-1.016259956E1,-1.345660019E1,-4.834859848E1
3.120685050E-1,-1.017479992E1,-1.337119961E1,-4.851939774E1
3.220685050E-1,-1.018700027E1,-1.345660019E1,-4.861700058E1
3.320685050E-1,-1.017479992E1,-1.350539970E1,-4.875119781E1
3.420685050E-1,-1.011380005E1,-1.355420017E1,-4.884880066E1
3.520685050E-1,-1.005280018E1,-1.360299969E1,-4.895859909E1
3.620685050E-1,-1.004059982E1,-1.368839931E1,-4.908060074E1
3.720685050E-1,-9.967399597E0,-1.363959980E1,-4.920259857E1
3.820685050E-1,-9.955200195E0,-1.374940014E1,-4.922699738E1
3.920685050E-1,-9.881999969E0,-1.383479977E1,-4.921479797E1
4.020685050E-1,-9.821000099E0,-1.377379990E1,-4.931240082E1
4.120685050E-1,-9.833199501E0,-1.372499943E1,-4.938559723E1
4.220685050E-1,-9.833199501E0,-1.381040001E1,-4.947100067E1
4.320685050E-1,-9.894199371E0,-1.388359928E1,-4.951979828E1
4.420685050E-1,-9.894199371E0,-1.396899986E1,-4.947100067E1
4.520685050E-1,-9.979599953E0,-1.407880020E1,-4.950759888E1
4.620685050E-1,-1.001620007E1,-1.421299934E1,-4.961739731E1
4.720685050E-1,-1.007719994E1,-1.438379955E1,-4.964179993E1
4.820685050E-1,-1.011380005E1,-1.456680012E1,-4.965399933E1
4.920685050E-1,-1.007719994E1,-1.476200008E1,-4.964179993E1
5.020685050E-1,-1.004059982E1,-1.484739971E1,-4.961739731E1
5.120685050E-1,-9.967399597E0,-1.496939945E1,-4.964179993E1
5.220685050E-1,-9.906399727E0,-1.511579990E1,-4.970280075E1
5.320685050E-1,-9.808799744E0,-1.531099987E1,-4.966619873E1
5.420685050E-1,-9.711199760E0,-1.546959972E1,-4.962960052E1
5.520685050E-1,-9.662400246E0,-1.561599922E1,-4.961739731E1
5.620685050E-1,-9.613599777E0,-1.577460003E1,-4.958079910E1
5.720685050E-1,-9.637999535E0,-1.596980000E1,-4.950759888E1
5.820685050E-1,-9.637999535E0,-1.614060020E1,-4.949539948E1
5.920685050E-1,-9.613599777E0,-1.631139946E1,-4.949539948E1
6.020685050E-1,-9.613599777E0,-1.645779991E1,-4.944659805E1
6.120685050E-1,-9.589200020E0,-1.660420036E1,-4.939780045E1
6.220685050E-1,-9.564800262E0,-1.662859917E1,-4.934899902E1
6.320685050E-1,-9.454999924E0,-1.670179939E1,-4.938559723E1
6.420685050E-1,-9.320799828E0,-1.676280022E1,-4.938559723E1
6.520685050E-1,-9.162199974E0,-1.681159973E1,-4.940999985E1
6.620685050E-1,-9.101200104E0,-1.687260056E1,-4.936119843E1
6.720685050E-1,-9.064599991E0,-1.697019958E1,-4.922699738E1
6.820685050E-1,-9.003600121E0,-1.701899910E1,-4.921479797E1
6.920685050E-1,-8.918199539E0,-1.710439873E1,-4.916600037E1
7.020685050E-1,-8.845000267E0,-1.729960060E1,-4.912939835E1
7.120685050E-1,-8.832799911E0,-1.740939903E1,-4.901959991E1
7.220685050E-1,-8.832799911E0,-1.751919937E1,-4.888539886E1
7.320685050E-1,-8.783999443E0,-1.770219994E1,-4.882439804E1
7.420685050E-1,-8.661999702E0,-1.788520050E1,-4.878779984E1
7.520685050E-1,-8.564399719E0,-1.804380035E1,-4.876339722E1
7.620685050E-1,-8.466799736E0,-1.827560043E1,-4.864139938E1
7.720685050E-1,-8.332599640E0,-1.843420029E1,-4.864139938E1
7.820685050E-1,-8.283800125E0,-1.864159966E1,-4.849499893E1
7.920685050E-1,-8.186200142E0,-1.881239891E1,-4.838520050E1
8.020685050E-1,-8.076399803E0,-1.905640030E1,-4.829980087E1
8.120685050E-1,-8.015399933E0,-1.922719955E1,-4.820219803E1
8.220685050E-1,-7.954400063E0,-1.937360001E1,-4.806800079E1
8.320685050E-1,-7.905600071E0,-1.955660057E1,-4.793379974E1
8.420685050E-1,-7.856800079E0,-1.955660057E1,-4.781179810E1
8.520685050E-1,-7.881199837E0,-1.962979889E1,-4.765319824E1
8.620685050E-1,-7.795799732E0,-1.964200020E1,-4.760440063E1
8.720685050E-1,-7.783599854E0,-1.970299911E1,-4.747019958E1
8.820685050E-1,-7.820199966E0,-1.980060005E1,-4.733599854E1
8.920685050E-1,-7.795799732E0,-1.987380028E1,-4.722620010E1
9.020685050E-1,-7.722599983E0,-1.993479919E1,-4.717739868E1
