"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.736479600E-2,-1.526303589E-1,1.116296530E0,1.004247856E1
1.936156700E-2,-1.430535465E-1,1.039682031E0,9.922768593E0
2.135833800E-2,-1.526303589E-1,1.006163239E0,9.779116631E0
2.335510800E-2,-1.526303589E-1,9.008184075E-1,9.836577415E0
2.535187900E-2,-1.238999367E-1,8.864531517E-1,9.865307808E0
2.734865000E-2,-1.334767491E-1,8.864531517E-1,9.769539833E0
2.934542100E-2,-1.478419602E-1,8.577227592E-1,9.827000618E0
3.134219200E-2,-1.622071713E-1,8.768763542E-1,9.779116631E0
3.333896300E-2,-1.669955701E-1,9.630676508E-1,9.683348656E0
3.533573300E-2,-2.005143911E-1,1.054047346E0,9.635464668E0
3.733250400E-2,-1.861491799E-1,1.063624144E0,9.783905029E0
3.932927500E-2,-2.148796022E-1,1.101931334E0,9.908403397E0
4.132604600E-2,-2.244564146E-1,1.298255920E0,9.625887871E0
4.332281700E-2,-2.148796022E-1,1.288679123E0,9.712079048E0
4.531958800E-2,-2.148796022E-1,1.250371814E0,9.975440979E0
4.731635800E-2,-1.669955701E-1,1.370081902E0,9.970652580E0
4.931312900E-2,-1.669955701E-1,1.417966008E0,9.836577415E0
5.130990000E-2,-1.478419602E-1,1.384447098E0,9.836577415E0
5.330667100E-2,-1.286883354E-1,1.370081902E0,9.961075783E0
5.530344200E-2,-1.095347255E-1,1.350928307E0,9.822212219E0
5.730021300E-2,-1.095347255E-1,1.355716705E0,9.898826599E0
5.929698300E-2,-9.038111567E-2,1.374870300E0,1.007120991E1
6.129375400E-2,-8.559270948E-2,1.403600693E0,9.774328232E0
6.329052500E-2,-3.292027488E-2,1.365293503E0,9.980229378E0
6.528729600E-2,-4.728548229E-2,1.355716705E0,1.002332497E1
6.728406700E-2,-1.376665942E-2,1.403600693E0,9.999382973E0
6.928083800E-2,-8.978256024E-3,1.437119603E0,1.011430550E1
7.127760800E-2,5.386953708E-3,1.475426793E0,1.010951710E1
7.327437900E-2,1.496376097E-2,1.566406488E0,9.903614998E0
7.527115000E-2,1.496376097E-2,1.619078875E0,9.841365814E0
7.726792100E-2,1.155202314E-1,1.427542806E0,1.019570827E1
7.926469200E-2,1.729810685E-1,1.432331204E0,1.032978344E1
8.126146300E-2,1.921346933E-1,1.566406488E0,1.004247856E1
8.325823300E-2,1.777694821E-1,1.585560083E0,9.975440979E0
8.525500400E-2,1.825578809E-1,1.499368787E0,1.004247856E1
8.725177500E-2,1.825578809E-1,1.542464495E0,1.026753426E1
8.924854600E-2,1.921346933E-1,1.547252893E0,9.937133789E0
9.124531700E-2,2.543839216E-1,1.480215192E0,1.036330223E1
9.324208800E-2,2.448071241E-1,1.518522382E0,1.015261269E1
9.523885800E-2,2.208651006E-1,1.513733983E0,9.946710587E0
9.723562900E-2,1.777694821E-1,1.461061597E0,1.007120991E1
9.923240000E-2,1.634042710E-1,1.394023895E0,1.017655468E1
1.012291710E-1,1.346738487E-1,1.432331204E0,9.884461403E0
1.032259420E-1,1.011550203E-1,1.370081902E0,9.908403397E0
1.052227130E-1,8.200141042E-2,1.384447098E0,9.956287384E0
1.072194830E-1,6.763619930E-2,1.437119603E0,9.908403397E0
1.092162540E-1,5.805939063E-2,1.322197914E0,9.822212219E0
1.112130250E-1,3.411737457E-2,1.408389091E0,9.745597839E0
1.132097960E-1,2.454056777E-2,1.470638394E0,9.400833130E0
1.152065670E-1,7.721300423E-2,1.240795016E0,1.020528507E1
1.172033380E-1,5.805939063E-2,1.370081902E0,9.822212219E0
1.192001080E-1,3.411737457E-2,1.489791989E0,9.285911560E0
1.211968790E-1,5.327098817E-2,1.212064624E0,9.989806175E0
1.231936500E-1,3.411737457E-2,1.240795016E0,9.870096207E0
1.251904210E-1,-2.334346622E-2,1.508945584E0,9.333795547E0
1.271871920E-1,-5.207388848E-2,1.508945584E0,9.362525940E0
1.291839630E-1,-3.292027488E-2,1.341351509E0,1.037766743E1
1.311807330E-1,-5.207388848E-2,1.432331204E0,9.731232643E0
1.331775040E-1,-6.643909961E-2,1.475426793E0,9.750386238E0
1.351742750E-1,-1.047463268E-1,1.590348482E0,9.846154213E0
1.371710460E-1,-1.286883354E-1,1.432331204E0,1.020528507E1
1.391678170E-1,-1.286883354E-1,1.504157186E0,9.874884605E0
1.411645880E-1,-1.047463268E-1,1.537676096E0,9.745597839E0
1.431613580E-1,-1.191115379E-1,1.609502077E0,9.400833130E0
1.451581290E-1,-4.249707982E-2,1.336563110E0,9.870096207E0
